streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"Совхозная улица, 10 к1",55.671052,37.752434,97571.0,11822.0,5.08,8.47,16.95,33.9,27.12,8.47,15.25,84.75,22.03,20.34,21.19,https://domclick.ru/card/sale__flat__2067854638
"улица Большая Набережная, 11 к2",55.82907,37.45742,95973.0,6917.0,10.81,28.72,26.35,20.61,8.78,4.73,64.86,35.14,19.93,10.14,41.89,https://domclick.ru/card/sale__flat__2067887367
"улица Петровка, 26 ст3",55.765963,37.616032,184006.0,14173.0,15.33,27.91,29.17,16.47,7.78,3.34,44.2,55.8,26.23,22.96,42.93,https://domclick.ru/card/sale__flat__2067908548
"Магнитогорская улица, 3",55.773748,37.822963,121519.0,10917.0,9.83,21.92,30.44,21.36,11.66,4.79,59.12,40.88,32.72,27.03,64.13,https://domclick.ru/card/sale__flat__2067953489
"Красногвардейский бульвар, 7",55.759795,37.543129,118493.0,12371.0,9.94,18.27,28.27,20.46,15.36,7.7,55.96,44.04,23.74,20.15,49.97,https://domclick.ru/card/sale__flat__2067964275
"проезд Дежнёва, 25 к2",55.869527,37.635201,105349.0,9342.0,13.88,19.66,27.25,20.03,11.71,7.48,52.25,47.75,27.29,23.13,40.85,https://domclick.ru/card/sale__flat__2068035414
"улица Народного Ополчения, 41",55.791511,37.489221,106477.0,10398.0,17.24,21.83,24.17,20.28,11.0,5.48,51.9,48.1,22.21,24.34,29.76,https://domclick.ru/card/sale__flat__2068039076
"Попутная улица, 1 к2",55.655101,37.382917,84297.0,7614.0,20.13,24.28,27.4,17.91,7.69,2.59,71.54,28.46,18.47,13.2,27.5,https://domclick.ru/card/sale__flat__2068141783
"улица Липчанского, 10",55.704888,37.943337,112116.0,8936.0,13.9,27.59,33.08,15.57,6.88,2.99,48.3,51.7,36.55,16.82,35.44,https://domclick.ru/card/sale__flat__2068218669
"улица Потаповская Роща, 2 к1",55.545784,37.493806,135106.0,9333.0,11.23,22.66,35.97,18.71,7.28,4.16,53.85,46.15,30.77,22.66,53.43,https://domclick.ru/card/sale__flat__2068255031
"Балаклавский проспект, 24 к1",55.643174,37.597179,114954.0,10124.0,12.53,22.13,34.45,17.95,8.77,4.18,55.74,44.26,30.48,18.58,41.13,https://domclick.ru/card/sale__flat__2068267425
"Городская улица, 14",55.492978,37.317234,130426.0,10231.0,14.22,20.74,31.07,20.65,9.57,3.76,59.28,40.72,31.65,23.96,59.01,https://domclick.ru/card/sale__flat__2068304241
"2-я Владимирская улица, 58",55.744057,37.788217,107166.0,8947.0,9.13,17.83,28.33,22.77,14.78,7.16,46.83,53.17,27.84,24.69,37.87,https://domclick.ru/card/sale__flat__2068324939
"улица Вильгельма Пика, 1",55.834412,37.639413,99366.0,8218.0,19.78,22.01,27.02,17.55,9.47,4.18,55.43,44.57,23.4,15.04,33.43,https://domclick.ru/card/sale__flat__2068375217
"улица Родченко, 2",55.698854,37.63057,172510.0,12874.0,13.43,27.84,37.47,14.09,5.02,2.15,63.92,36.08,28.32,14.92,50.9,https://domclick.ru/card/sale__flat__2068419498
