streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"Рублёвское шоссе, 42 к2",55.751634,37.414068,232990.0,16532.0,9.24,22.75,32.67,20.35,9.49,5.51,55.12,44.88,34.15,24.48,70.95,https://domclick.ru/card/sale__flat__2070427412
"Винницкая улица, 8 к3",55.701485,37.49308,168829.0,18198.0,30.01,28.25,24.29,10.8,5.12,1.54,55.75,44.25,27.59,15.31,55.51,https://domclick.ru/card/sale__flat__2070427572
"Коломенская улица, 12 к2",55.681473,37.695805,111746.0,11334.0,9.64,16.34,30.53,23.16,12.96,7.37,49.7,50.3,29.64,21.44,43.48,https://domclick.ru/card/sale__flat__2070427633
"Автозаводская улица, 23 ст120",55.701413,37.642608,110952.0,9304.0,15.87,26.87,31.06,16.81,6.95,2.43,69.01,30.99,18.5,12.22,33.29,https://domclick.ru/card/sale__flat__2070427663
"Рязанский проспект, 6а",55.726575,37.752335,115185.0,10309.0,20.16,26.26,25.25,16.74,8.47,3.12,57.44,42.56,20.0,18.15,32.5,https://domclick.ru/card/sale__flat__2070427685
"Филёвский бульвар, 11",55.765846,37.485954,82693.0,,5.01,6.74,20.23,21.97,15.8,30.25,31.98,68.02,27.75,25.43,30.83,https://domclick.ru/card/sale__flat__2070427779
"Авиационная улица, 59",55.809438,37.456944,112335.0,13203.0,12.08,20.65,27.93,20.17,11.76,7.42,51.81,48.19,26.22,20.49,39.5,https://domclick.ru/card/sale__flat__2070431641
"Люблинская улица, 80 к6",55.660521,37.730956,115181.0,11705.0,18.51,28.61,30.55,13.6,6.4,2.34,54.82,45.18,28.79,21.03,42.22,https://domclick.ru/card/sale__flat__2070439741
"Профсоюзная улица, 25",55.674155,37.560721,113274.0,9829.0,14.82,23.0,29.27,19.32,9.13,4.46,59.35,40.65,24.97,18.09,40.73,https://domclick.ru/card/sale__flat__2070452081
"Зеленоград, к1428",55.98943,37.151633,99069.0,9055.0,11.18,18.19,36.91,15.62,12.95,5.15,50.58,49.42,37.62,26.18,48.98,https://domclick.ru/card/sale__flat__2070452386
"проспект Будённого, 51 к6",55.758989,37.739209,137753.0,11680.0,13.59,26.28,31.83,16.42,9.25,2.63,64.38,35.62,25.01,22.49,59.68,https://domclick.ru/card/sale__flat__2070471043
"Гурьевский проезд, 19 к1",55.606451,37.75175,84170.0,8507.0,8.84,13.17,31.2,19.82,14.9,12.07,44.89,55.11,28.37,22.99,36.05,https://domclick.ru/card/sale__flat__2070471520
"улица 1905 года, 19",55.766709,37.558634,120882.0,10596.0,13.33,23.55,28.2,19.04,11.29,4.59,52.19,47.81,21.35,17.98,30.11,https://domclick.ru/card/sale__flat__2070479682
"Новокосинская улица, 17 к6",55.740504,37.855544,126495.0,9000.0,2.73,18.03,32.24,15.3,16.39,15.3,24.59,75.41,41.53,28.42,40.44,https://domclick.ru/card/sale__flat__2070487942
"1-я Ватутинская улица, 14 к1",55.504851,37.322775,117567.0,9352.0,11.17,21.34,30.41,19.44,13.16,4.49,49.65,50.35,33.3,22.53,54.44,https://domclick.ru/card/sale__flat__2070491312
"Суздальская улица, 12 к4",55.737882,37.850188,110088.0,10471.0,7.88,17.54,32.19,19.48,16.34,6.57,47.8,52.2,27.84,28.03,44.08,https://domclick.ru/card/sale__flat__2070497634
"Городская улица, 20",55.492269,37.314798,112617.0,9240.0,11.73,21.94,29.52,22.01,10.24,4.56,56.85,43.15,26.75,23.51,53.24,https://domclick.ru/card/sale__flat__2070499254
"3-я Парковая улица, 61",55.807044,37.781458,90795.0,8588.0,11.07,21.61,29.8,20.01,11.76,5.75,56.31,43.69,25.97,20.54,43.05,https://domclick.ru/card/sale__flat__2070504359
"Мичуринский проспект, 13 к3",55.697179,37.512577,208763.0,12136.0,5.41,35.14,38.14,11.41,4.8,5.11,25.23,74.77,39.34,24.92,50.15,https://domclick.ru/card/sale__flat__2070529160
"Алма-Атинская улица, 4",55.641555,37.766751,95115.0,12706.0,2.5,22.5,35.0,25.0,12.5,2.5,20.0,80.0,65.0,40.0,40.0,https://domclick.ru/card/sale__flat__2070529969
"Магеллана проспект, 2",55.591881,37.447366,134015.0,10501.0,16.33,29.63,29.75,14.91,6.83,2.54,58.4,41.6,30.25,16.47,45.39,https://domclick.ru/card/sale__flat__2070530796
"Лухмановская улица, 11",55.720413,37.898207,113534.0,10663.0,9.05,16.47,32.01,20.97,15.17,6.33,48.4,51.6,35.58,25.64,48.76,https://domclick.ru/card/sale__flat__2070530991
"Нагатинская набережная, 40/1",55.685698,37.67474,129741.0,6156.0,8.59,18.69,33.84,20.71,9.6,8.59,47.98,52.02,34.34,25.76,54.55,https://domclick.ru/card/sale__flat__2070554466
"Чонгарский бульвар, 26а к1",55.654591,37.60083,87588.0,9652.0,18.21,21.02,23.15,19.34,11.5,6.77,50.53,49.47,22.66,15.54,27.22,https://domclick.ru/card/sale__flat__2070556127
"Рязанский проспект, 53 к2",55.724426,37.768704,160515.0,10834.0,11.46,24.51,33.6,17.79,11.07,1.58,61.26,38.74,28.06,29.25,63.24,https://domclick.ru/card/sale__flat__2070556138
"Хорошёвское шоссе, 52 к2",55.777084,37.53199,146934.0,10486.0,8.07,15.16,31.49,22.35,16.23,6.71,40.52,59.48,35.67,26.92,46.16,https://domclick.ru/card/sale__flat__2070558635
"Центральная улица, 8",55.515908,37.226535,69377.0,3873.0,5.88,16.67,24.51,26.47,17.65,8.82,56.86,43.14,13.73,18.63,33.33,https://domclick.ru/card/sale__flat__2070566478
"Коломенская улица, 9",55.681267,37.702673,99002.0,9562.0,9.14,15.13,28.12,23.65,14.21,9.75,46.7,53.3,30.56,23.45,43.86,https://domclick.ru/card/sale__flat__2070567619
"Кастанаевская улица, 57 к3",55.731046,37.457509,101983.0,8404.0,9.62,21.15,23.08,26.92,9.62,9.62,42.31,57.69,30.77,48.08,36.54,https://domclick.ru/card/sale__flat__2070567651
"Липецкая улица, 46 к1",55.581292,37.679779,120018.0,5030.0,4.44,8.89,28.89,42.22,6.67,8.89,46.67,53.33,33.33,35.56,48.89,https://domclick.ru/card/sale__flat__2070568764
"Защитников Москвы проспект, 12",55.701958,37.924289,93495.0,10725.0,17.65,22.65,31.48,17.54,8.07,2.6,48.52,51.48,32.26,18.4,26.77,https://domclick.ru/card/sale__flat__2070576830
"2-й Грайвороновский проезд, 42 к4",55.724799,37.744693,139339.0,9853.0,17.65,26.22,29.34,16.67,7.64,2.47,61.2,38.8,24.59,18.12,43.78,https://domclick.ru/card/sale__flat__2070578161
"Олонецкая улица, 4",55.852926,37.619576,176788.0,13681.0,10.48,24.83,36.43,16.38,7.83,4.06,46.62,53.38,42.22,23.77,47.54,https://domclick.ru/card/sale__flat__2070578204
"Зеленоград, к1559",55.979049,37.14996,119943.0,9961.0,10.12,20.13,35.6,15.8,12.12,6.23,54.95,45.05,40.6,28.92,56.51,https://domclick.ru/card/sale__flat__2070583203
"1-я Вольская улица, 24 к1",55.683131,37.928613,93100.0,12106.0,10.18,18.98,35.51,20.53,11.2,3.6,58.81,41.19,29.01,19.81,47.67,https://domclick.ru/card/sale__flat__2070596056
"бульвар Дмитрия Донского, 17",55.563744,37.573852,100176.0,9807.0,15.46,20.39,29.12,18.28,10.84,5.91,58.0,42.0,28.06,19.77,39.8,https://domclick.ru/card/sale__flat__2070596909
"Зеленоград, к1129",55.997779,37.179463,108191.0,10996.0,7.48,15.66,34.48,20.49,13.78,8.11,45.03,54.97,34.2,27.48,50.7,https://domclick.ru/card/sale__flat__2070597782
"Солнечная улица, 12",55.469618,37.292172,119673.0,7599.0,8.31,15.13,29.42,24.78,14.09,8.27,51.54,48.46,30.53,24.96,57.77,https://domclick.ru/card/sale__flat__2070599570
"Рословка улица, 6 к2",55.829835,37.357923,114704.0,11926.0,11.4,16.4,31.4,23.0,13.0,4.8,57.8,42.2,28.8,25.2,49.8,https://domclick.ru/card/sale__flat__2070599872
"Профсоюзная улица, 73",55.6488,37.532827,117656.0,10793.0,15.07,25.13,27.51,17.96,9.96,4.36,69.74,30.26,25.26,17.76,69.33,https://domclick.ru/card/sale__flat__2070601141
"Дмитровское шоссе, 107а к5",55.877521,37.53888,115917.0,9127.0,14.31,22.47,32.11,17.34,8.85,4.93,56.38,43.62,29.8,21.05,41.48,https://domclick.ru/card/sale__flat__2070615179
"квартал 100-й, 1 к3",55.803733,37.351095,154961.0,15298.0,11.26,30.93,36.36,13.24,5.53,2.67,53.06,46.94,32.21,22.53,59.98,https://domclick.ru/card/sale__flat__2070629614
"Ленинградское шоссе, 21",55.822613,37.492647,143342.0,10782.0,3.14,13.21,28.93,28.3,19.5,6.92,41.51,58.49,35.85,22.01,54.72,https://domclick.ru/card/sale__flat__2070642772
"Крюковский тупик, 6",55.764927,37.711704,96805.0,11830.0,11.61,20.76,28.98,20.76,11.69,6.19,54.32,45.68,22.12,19.83,39.32,https://domclick.ru/card/sale__flat__2070643960
"Сивашская улица, 9",55.659851,37.604024,112241.0,9359.0,12.6,21.73,28.32,21.29,11.15,4.9,47.86,52.14,24.89,21.11,36.34,https://domclick.ru/card/sale__flat__2070644746
"проезд Шокальского, 55 к2",55.883116,37.6596,96959.0,8772.0,12.99,20.31,27.82,20.88,12.99,5.02,36.86,63.14,27.43,27.85,33.98,https://domclick.ru/card/sale__flat__2070647855
"2-я Нововатутинская улица, 5",55.517604,37.352038,113612.0,12097.0,10.07,20.87,35.55,17.83,10.8,4.87,50.2,49.8,37.81,24.85,47.35,https://domclick.ru/card/sale__flat__2070654667
"улица Мусы Джалиля, 29 к1",55.616477,37.745491,93163.0,8331.0,12.38,18.24,30.6,22.03,10.2,6.56,51.11,48.89,27.64,20.77,37.63,https://domclick.ru/card/sale__flat__2070657801
"улица Академика Волгина, 2",55.656364,37.522431,190802.0,8934.0,2.08,18.75,23.96,30.21,16.67,8.33,38.54,61.46,35.42,32.29,60.42,https://domclick.ru/card/sale__flat__2070683118
"Краснодарская улица, 72 к3",55.668645,37.779261,95947.0,11354.0,15.3,26.32,28.68,18.35,8.36,3.0,63.65,36.35,21.69,12.99,44.96,https://domclick.ru/card/sale__flat__2070684570
"Мичуринский проспект, 21 к3",55.698295,37.503352,169384.0,13206.0,11.76,10.92,35.29,19.33,12.61,10.08,28.57,71.43,46.22,25.21,48.74,https://domclick.ru/card/sale__flat__2070685061
"Ореховый бульвар, 24 к4",55.612905,37.751092,100077.0,8760.0,12.87,19.13,28.6,22.6,11.9,4.89,50.28,49.72,26.96,20.03,33.21,https://domclick.ru/card/sale__flat__2070689037
"Бескудниковский бульвар, 56 к1",55.873977,37.536286,108965.0,9852.0,11.46,20.15,30.87,20.54,11.69,5.28,47.05,52.95,32.35,29.4,41.43,https://domclick.ru/card/sale__flat__2070689629
"Аминьевское шоссе, 4д к3",55.699406,37.468959,134313.0,10217.0,19.79,24.92,30.59,14.95,6.57,3.17,55.89,44.11,25.53,17.52,42.67,https://domclick.ru/card/sale__flat__2070690423
"улица Расплетина, 3 к3",55.79081,37.478097,109188.0,10044.0,10.56,15.03,29.31,20.27,14.78,10.05,46.11,53.89,25.93,21.88,36.4,https://domclick.ru/card/sale__flat__2070691132
"Профсоюзная улица, 128",55.63177,37.515826,121842.0,10386.0,18.6,27.84,23.87,15.4,9.6,4.7,51.88,48.12,32.35,21.9,37.17,https://domclick.ru/card/sale__flat__2070695049
"улица Академика Королёва, 13",55.821006,37.619031,101977.0,9157.0,14.77,18.45,28.94,21.53,11.09,5.22,58.48,41.52,22.6,19.48,39.47,https://domclick.ru/card/sale__flat__2070695685
"Алтуфьевское шоссе, 53 к2",55.872127,37.581455,160589.0,17526.0,3.62,32.97,46.74,7.25,6.16,3.26,37.68,62.32,80.43,23.55,59.78,https://domclick.ru/card/sale__flat__2070696282
"Артековская улица, 2 к1",55.650449,37.613009,120011.0,9974.0,21.16,24.15,24.98,16.95,8.96,3.8,40.93,59.07,28.71,28.07,37.91,https://domclick.ru/card/sale__flat__2070698053
"улица Никитина, 3 к4",55.608065,37.362058,126361.0,3815.0,7.02,22.81,31.58,22.81,12.28,3.51,38.6,61.4,28.07,24.56,40.35,https://domclick.ru/card/sale__flat__2070698085
"улица Лётчика Осканова, 6",55.855286,37.557455,144781.0,11982.0,16.44,33.9,28.47,14.41,5.08,1.69,58.14,41.86,21.86,16.86,37.8,https://domclick.ru/card/sale__flat__2070698090
"Артамонова улица, 16 к1",55.718768,37.454308,102245.0,14575.0,12.07,21.26,28.16,20.69,12.07,5.75,56.9,43.1,26.44,13.79,45.4,https://domclick.ru/card/sale__flat__2070714571
"Алма-Атинская улица, 9 к2",55.639125,37.773221,87659.0,9071.0,9.96,17.61,31.52,20.38,12.15,8.37,44.69,55.31,30.37,22.17,37.93,https://domclick.ru/card/sale__flat__2070720778
"улица Большая Ордынка, 68",55.731546,37.623839,180891.0,12542.0,8.3,18.18,27.37,22.88,14.67,8.6,38.54,61.46,29.81,24.81,45.04,https://domclick.ru/card/sale__flat__2070724373
"Новокосинская улица, 49",55.744281,37.876714,104353.0,9940.0,10.56,17.23,31.04,20.39,13.83,6.95,45.11,54.89,29.96,26.99,36.19,https://domclick.ru/card/sale__flat__2070728531
"Братиславская улица, 26",55.65416,37.763886,104091.0,10674.0,11.91,20.72,31.03,18.74,12.38,5.22,47.11,52.89,32.11,25.98,39.59,https://domclick.ru/card/sale__flat__2070733026
"улица Василисы Кожиной, 14 к3",55.738105,37.498265,154491.0,10117.0,6.49,20.78,40.26,14.29,7.79,10.39,19.48,80.52,41.56,33.77,41.56,https://domclick.ru/card/sale__flat__2070750732
"Никитинская улица, 9",55.79759,37.774682,118273.0,9884.0,11.63,20.78,26.57,19.55,14.52,6.95,49.69,50.31,29.32,24.02,39.92,https://domclick.ru/card/sale__flat__2070753121
"улица Руднёвка, 33",55.716794,37.891035,116529.0,10053.0,9.19,15.36,30.29,25.88,12.88,6.41,46.01,53.99,39.06,24.3,50.73,https://domclick.ru/card/sale__flat__2070766713
"улица Бориса Пастернака, 25",55.636708,37.319756,146934.0,8283.0,10.99,22.68,39.67,15.69,7.29,3.67,50.3,49.7,38.73,25.14,49.56,https://domclick.ru/card/sale__flat__2070768120
"Варшавское шоссе, 114 к3",55.635277,37.61733,103865.0,9559.0,10.17,17.74,31.12,21.2,13.02,6.75,55.45,44.55,28.15,19.37,49.63,https://domclick.ru/card/sale__flat__2070792891
"улица Героев Панфиловцев, 3",55.853877,37.437538,107717.0,10089.0,6.91,16.69,27.15,23.78,16.95,8.52,41.57,58.43,29.76,28.41,34.74,https://domclick.ru/card/sale__flat__2070797093
7 к В,55.634706,37.589398,117336.0,11918.0,12.12,14.57,27.66,23.97,11.63,10.05,50.71,49.29,31.36,24.08,42.34,https://domclick.ru/card/sale__flat__2070805737
"Олонецкий проезд, 12",55.874977,37.660983,140302.0,12208.0,12.2,26.02,37.4,17.07,6.5,0.81,38.21,61.79,48.78,38.21,39.02,https://domclick.ru/card/sale__flat__2070806872
"квартал 5-й Капотня, 1 ст2",55.628896,37.797378,86229.0,8903.0,14.2,22.51,28.76,20.37,9.92,4.24,60.35,39.65,23.15,14.8,43.04,https://domclick.ru/card/sale__flat__2070809411
"улица Ивана Сусанина, 6 к3",55.868019,37.527867,92386.0,9702.0,15.38,20.5,26.53,19.15,12.86,5.58,50.81,49.19,28.15,21.04,41.73,https://domclick.ru/card/sale__flat__2070810204
"улица Маршала Савицкого, 4 к1",55.505204,37.576925,117278.0,14884.0,23.08,23.08,41.03,10.26,,2.56,58.97,41.03,33.33,28.21,48.72,https://domclick.ru/card/sale__flat__2070810565
"Федеративный проспект, 22 к1",55.755029,37.808527,108203.0,9499.0,9.52,20.11,28.48,21.25,12.61,8.02,50.18,49.82,25.57,28.04,39.51,https://domclick.ru/card/sale__flat__2070822431
"Базовская улица, 15 к8",55.878089,37.507829,130964.0,10070.0,7.35,20.36,42.29,16.16,9.86,3.99,41.45,58.55,40.5,23.19,45.44,https://domclick.ru/card/sale__flat__2070829369
"квартал 3-й Капотня, 12",55.637204,37.794013,91517.0,9814.0,12.12,20.45,31.48,21.23,10.39,4.34,59.98,40.02,23.15,16.8,46.93,https://domclick.ru/card/sale__flat__2070829785
"Ленинградский проспект, 29 к4",55.78525,37.561117,175704.0,15685.0,14.78,24.33,29.83,18.99,8.27,3.8,54.55,45.45,26.88,22.86,49.3,https://domclick.ru/card/sale__flat__2070834397
"Снежная улица, 4",55.848156,37.641467,120769.0,11629.0,18.38,19.62,26.51,18.68,11.91,4.89,48.87,51.13,24.66,20.81,35.06,https://domclick.ru/card/sale__flat__2070834776
"Булатниковская улица, 3 к4",55.578187,37.655891,89680.0,8214.0,13.65,24.34,29.72,18.15,10.08,4.06,59.56,40.44,27.79,20.88,46.02,https://domclick.ru/card/sale__flat__2070835299
"Нагорный бульвар, 9",55.673519,37.596435,110407.0,9901.0,8.39,22.11,28.77,22.35,12.26,6.12,59.15,40.85,25.28,18.5,54.82,https://domclick.ru/card/sale__flat__2070844880
"Солнцевский проспект, 9",55.650739,37.400413,102576.0,8645.0,11.89,19.0,28.64,21.95,12.4,6.12,47.54,52.46,29.92,23.41,38.84,https://domclick.ru/card/sale__flat__2070849291
"Мещёрский переулок, 6 к2",55.715572,37.779004,94903.0,9701.0,13.77,20.49,30.89,18.19,10.51,6.16,47.77,52.23,27.85,31.07,37.05,https://domclick.ru/card/sale__flat__2070849361
"улица Маршала Захарова, 10 к2",55.624637,37.700259,106933.0,4764.0,6.76,13.51,39.19,22.3,5.41,12.84,54.73,45.27,36.49,26.35,44.59,https://domclick.ru/card/sale__flat__2070850448
"улица Барышевская Роща, 18",55.50324,37.536978,107524.0,9744.0,10.62,21.73,32.72,19.63,10.08,5.21,49.32,50.68,30.52,20.93,45.7,https://domclick.ru/card/sale__flat__2070851276
"Волоколамское шоссе, 97",55.830423,37.398907,115934.0,9969.0,19.06,28.42,33.55,13.36,4.4,1.22,79.15,20.85,19.3,12.38,34.61,https://domclick.ru/card/sale__flat__2070857390
"Новомарьинская улица, 36 к1",55.660603,37.772753,106645.0,10797.0,12.34,20.65,28.69,22.18,11.16,4.99,52.53,47.47,30.63,22.52,42.55,https://domclick.ru/card/sale__flat__2070857448
"Мичуринский проспект, 13 к2",55.697559,37.51255,208763.0,12136.0,5.41,35.14,38.14,11.41,4.8,5.11,25.23,74.77,39.34,24.92,50.15,https://domclick.ru/card/sale__flat__2070857492
"проезд Дежнёва, 34",55.870557,37.631096,100093.0,9307.0,11.64,17.56,28.54,22.37,12.45,7.44,44.43,55.57,29.76,26.37,36.87,https://domclick.ru/card/sale__flat__2070858902
"квартал 100-й, 1 к1",55.802102,37.348009,142407.0,15836.0,11.41,29.37,36.83,11.98,7.65,2.76,57.41,42.59,27.9,19.3,59.89,https://domclick.ru/card/sale__flat__2070868071
"улица Академика Глушко, 10 к1",55.565279,37.566793,110259.0,9752.0,8.62,17.55,31.36,19.06,15.62,7.78,45.84,54.16,33.05,26.96,44.93,https://domclick.ru/card/sale__flat__2070869629
"Старобитцевская улица, 15 к1",55.575593,37.586307,133149.0,13236.0,7.43,29.05,34.4,18.21,8.36,2.56,80.7,19.3,28.36,17.44,93.04,https://domclick.ru/card/sale__flat__2070870466
"Бирюлёвская улица, 55 к1",55.583027,37.67542,99729.0,9453.0,14.37,22.02,29.47,19.93,9.16,5.05,49.56,50.44,31.24,22.61,42.31,https://domclick.ru/card/sale__flat__2070885867
"Литовский бульвар, 5/10",55.613804,37.535745,113328.0,9098.0,7.3,18.39,27.05,23.08,14.34,9.83,50.41,49.59,28.04,21.82,46.26,https://domclick.ru/card/sale__flat__2070895158
"улица Тихомирова, 17 к1",55.885672,37.652418,109399.0,10319.0,10.12,18.85,29.71,23.49,12.81,5.01,44.94,55.06,32.78,26.09,39.46,https://domclick.ru/card/sale__flat__2070895491
"Цимлянская улица, 24",55.670315,37.768268,87980.0,11097.0,18.32,28.21,33.33,12.09,5.86,2.2,50.92,49.08,32.97,18.68,44.32,https://domclick.ru/card/sale__flat__2070903859
"Сормовская улица, 3 к3",55.710296,37.813764,97849.0,9982.0,17.03,20.99,26.67,19.5,10.51,5.3,47.82,52.18,33.48,19.82,39.08,https://domclick.ru/card/sale__flat__2070908075
"Новорязанская улица, 2/7",55.771393,37.655207,110091.0,10774.0,18.57,19.31,28.36,19.72,9.99,4.05,56.89,43.11,21.78,18.57,35.75,https://domclick.ru/card/sale__flat__2070921900
"Люблинская улица, 80 к7",55.660613,37.729791,162507.0,6273.0,10.69,43.51,35.88,5.34,3.82,0.76,58.02,41.98,30.53,31.3,45.8,https://domclick.ru/card/sale__flat__2070924903
"Кронштадтский бульвар, 9 к6",55.8429,37.487727,104651.0,10335.0,10.99,20.17,26.73,21.15,14.56,6.39,48.12,51.88,24.23,22.04,35.74,https://domclick.ru/card/sale__flat__2070924917
"Ильменский проезд, 14 к8",55.862378,37.542689,132992.0,11627.0,14.44,28.9,30.15,16.2,7.89,2.42,63.33,36.67,27.91,19.07,60.63,https://domclick.ru/card/sale__flat__2070925230
"Ярцевская улица, 27 к7",55.743286,37.413954,114798.0,9952.0,13.68,20.56,28.09,21.38,11.38,4.91,55.94,44.06,24.41,20.39,41.11,https://domclick.ru/card/sale__flat__2070935311
"улица Маршала Федоренко, 16/2 к1",55.883284,37.486533,102068.0,10752.0,12.59,20.46,30.03,18.95,12.52,5.46,51.99,48.01,26.68,20.42,40.11,https://domclick.ru/card/sale__flat__2070935326
"Защитников Москвы проспект, 1",55.698225,37.91498,113500.0,11496.0,14.17,33.9,35.94,11.11,4.08,0.79,59.64,40.36,43.76,23.47,48.19,https://domclick.ru/card/sale__flat__2070938279
"Академика Дыхне, 8",55.455056,37.285767,111607.0,10438.0,14.49,27.14,31.09,17.24,6.61,3.44,68.1,31.9,25.57,18.05,63.75,https://domclick.ru/card/sale__flat__2070939941
"улица Дмитрия Ульянова, 27 к1",55.686307,37.582321,127607.0,12031.0,13.87,18.14,29.29,20.43,11.39,6.87,52.38,47.62,29.23,24.71,46.75,https://domclick.ru/card/sale__flat__2070940592
"Рублёвское шоссе, 101",55.742847,37.422547,164108.0,18174.0,12.33,21.34,32.27,19.38,10.29,4.4,50.87,49.13,30.47,24.03,50.19,https://domclick.ru/card/sale__flat__2070942155
"Совхозная улица, 19",55.671484,37.75092,85742.0,9440.0,13.28,23.23,29.64,19.1,9.88,4.87,60.22,39.78,21.6,14.98,41.22,https://domclick.ru/card/sale__flat__2070960985
"Зеленоград, к1519",55.983476,37.160252,111705.0,12983.0,2.74,15.75,29.45,17.12,23.29,11.64,30.14,69.86,50.0,30.14,47.26,https://domclick.ru/card/sale__flat__2070962218
"улица Преображенский Вал, 16",55.79263,37.714366,111721.0,10075.0,13.85,19.26,26.53,21.54,12.79,6.05,47.11,52.89,24.77,22.81,34.91,https://domclick.ru/card/sale__flat__2070963522
"Елецкая улица, 31 к1",55.602429,37.736605,103293.0,11068.0,12.95,20.29,30.46,20.85,10.33,5.12,53.09,46.91,31.74,23.28,47.06,https://domclick.ru/card/sale__flat__2070964440
"Амурская улица, 1/2/1",55.80616,37.752113,138680.0,12066.0,20.06,31.38,27.86,13.2,5.69,1.82,57.77,42.23,25.63,17.42,41.82,https://domclick.ru/card/sale__flat__2070967085
"улица Недорубова, 14",55.70211,37.934707,111812.0,9958.0,12.48,24.37,34.54,17.34,8.18,3.08,42.98,57.02,36.57,22.33,33.19,https://domclick.ru/card/sale__flat__2070967250
"улица Годовикова, 11 к1",55.809747,37.626796,113603.0,12027.0,13.4,24.63,30.32,17.59,9.94,4.12,61.65,38.35,22.3,18.81,40.37,https://domclick.ru/card/sale__flat__2070968445
"Михневская улица, 8",55.579823,37.671403,112450.0,9500.0,11.57,21.65,31.99,20.86,9.36,4.57,48.13,51.87,32.73,23.71,44.46,https://domclick.ru/card/sale__flat__2070968453
"Радужная улица, 8",55.591876,37.370767,121780.0,8714.0,6.21,14.86,35.81,22.41,13.15,7.55,38.98,61.02,41.66,26.67,50.91,https://domclick.ru/card/sale__flat__2070994597
"Путейская улица, 2",55.869571,37.513583,135502.0,8514.0,5.26,27.37,51.58,10.53,5.26,,45.26,54.74,63.16,27.37,65.26,https://domclick.ru/card/sale__flat__2070994893
"Коровинское шоссе, 11 к2",55.868627,37.534306,88249.0,8915.0,13.2,20.51,26.6,19.85,13.44,6.41,50.88,49.12,27.39,19.99,33.77,https://domclick.ru/card/sale__flat__2071002535
"Гарибальди улица, 10 к4",55.672842,37.536078,105004.0,10528.0,9.77,18.07,26.91,21.29,12.99,10.98,48.06,51.94,28.38,22.09,39.09,https://domclick.ru/card/sale__flat__2071004926
"Новомарьинская улица, 3 к1",55.652238,37.747033,132673.0,9595.0,4.39,13.95,41.86,15.76,16.8,7.24,29.72,70.28,49.61,31.78,44.44,https://domclick.ru/card/sale__flat__2071005264
"улица Никитина, 20",55.603942,37.370422,118322.0,8347.0,16.61,23.22,32.7,16.02,8.16,3.31,52.09,47.91,36.96,18.66,44.31,https://domclick.ru/card/sale__flat__2071007381
"улица Мусоргского, 15",55.864496,37.626828,93607.0,10613.0,14.32,19.52,32.32,19.96,11.28,2.6,55.75,44.25,32.32,25.16,44.9,https://domclick.ru/card/sale__flat__2071008159
"улица Маршала Катукова, 10 к1",55.80911,37.402965,107071.0,9922.0,10.09,18.46,27.65,23.89,11.42,8.48,47.38,52.62,29.3,23.13,44.41,https://domclick.ru/card/sale__flat__2071008202
"Болотниковская улица, 31 к2",55.658329,37.591145,100666.0,10340.0,9.28,21.77,30.18,20.47,12.66,5.64,64.7,35.3,24.54,18.91,74.93,https://domclick.ru/card/sale__flat__2071017256
"улица Большая Набережная, 3",55.824425,37.45442,148045.0,10334.0,12.28,26.32,24.56,24.56,5.26,7.02,80.7,19.3,28.07,31.58,89.47,https://domclick.ru/card/sale__flat__2071021159
"улица Лавриненко, 11 к2",55.702224,37.949815,103919.0,8797.0,12.13,22.88,31.92,17.81,10.7,4.56,47.63,52.37,34.47,21.34,39.06,https://domclick.ru/card/sale__flat__2071022163
"Солнцевский проспект, 17/1 / улица Щорса, 1",55.647845,37.408571,100608.0,8590.0,10.74,16.41,30.72,22.13,13.0,7.0,45.08,54.92,33.6,27.41,43.17,https://domclick.ru/card/sale__flat__2071030004
"Первомайская улица, 46",55.792893,37.789746,118079.0,11279.0,15.01,20.14,26.0,20.27,11.94,6.64,47.53,52.47,31.44,27.19,38.47,https://domclick.ru/card/sale__flat__2071046230
"Новочеркасский бульвар, 53",55.648635,37.74016,101572.0,8903.0,10.16,18.85,30.37,21.05,13.08,6.48,45.63,54.37,27.98,24.54,33.99,https://domclick.ru/card/sale__flat__2071047268
"Волгоградский проспект, 32/3 к2",55.719876,37.694073,127928.0,14798.0,22.76,31.82,27.54,13.15,3.64,1.1,72.19,27.81,16.43,13.69,34.36,https://domclick.ru/card/sale__flat__2071056264
"улица Борисовские Пруды, 12 к1",55.636132,37.74325,116976.0,9788.0,10.74,22.79,31.7,20.75,9.86,4.16,41.42,58.58,34.26,25.71,36.82,https://domclick.ru/card/sale__flat__2071056345
"Чароитовая улица, 1 к1",55.51208,37.353145,100875.0,8356.0,13.75,24.3,29.48,20.42,9.05,3.0,49.01,50.99,31.18,19.61,39.55,https://domclick.ru/card/sale__flat__2071063872
"Кастанаевская улица, 30 к1",55.737351,37.486633,128607.0,10713.0,10.54,20.92,28.99,20.3,12.41,6.84,50.46,49.54,24.76,22.26,39.78,https://domclick.ru/card/sale__flat__2071063888
"бульвар Веласкеса, 10",55.592906,37.462579,145015.0,9858.0,12.1,27.08,32.42,16.94,7.78,3.68,49.93,50.07,36.92,22.92,46.45,https://domclick.ru/card/sale__flat__2071067585
