title,district,city,region,lat,lon
Савёловская,Бутырский,Москва,Москва,55.794212,37.590212
Химки,,Химки,Московская область,55.893669,37.453631
Генерала Тюленева,Тёплый Стан,Москва,Москва,55.626193,37.485671
Новопеределкино,Ново-Переделкино,Москва,Москва,55.639643,37.355218
Корниловская,Коммунарка,Москва,Москва,55.598502,37.479072
Коммунарка,Коммунарка,,Москва,55.574573,37.46794
Марьина Роща,Марьина Роща,Москва,Москва,55.800997,37.619934
Аэропорт Внуково,Внуково,Москва,Москва,55.607023,37.287762
Тушинская,Покровское-Стрешнево,Москва,Москва,55.826952,37.44142
Улица Дмитриевского,Косино-Ухтомский,Москва,Москва,55.710178,37.879928
Павшино,,Красногорск,Московская область,55.815098,37.34062
Лихоборы,,Москва,Москва,55.850199,37.552432
Депо,Печатники,Москва,Москва,55.673898,37.728098
Моссельмаш,Головинский,Москва,Москва,55.86201,37.527738
Москворечье,Москворечье-Сабурово,Москва,Москва,55.64087,37.68955
Немчиновка,,,Московская область,55.715812,37.375046
Ольховая,Коммунарка,Москва,Москва,55.569063,37.458993
Тютчевская,Коммунарка,Москва,Москва,55.618939,37.480985
Бескудниково,Восточное Дегунино,Москва,Москва,55.882687,37.567792
Кусково,Вешняки,Москва,Москва,55.739678,37.79558
Кутузовская,Дорогомилово,Москва,Москва,55.742176,37.532948
Петровско-Разумовская,Тимирязевский,Москва,Москва,55.83487,37.574907
Москва-Сити,Пресненский,Москва,Москва,55.750156,37.530505
Сортировочная,Соколиная Гора,Москва,Москва,55.763544,37.720762
Плющево,Рязанский,Москва,Москва,55.730429,37.774869
Царицыно,Царицыно,Москва,Москва,55.618184,37.668262
Минская,Раменки,Москва,Москва,55.724021,37.501597
Трикотажная,Покровское-Стрешнево,Москва,Москва,55.83302,37.399771
Андроновка,,Москва,Москва,55.744872,37.740168
Белорусская,Тверской,Москва,Москва,55.776996,37.58083
Битцевский парк,Ясенево,Москва,Москва,55.600351,37.556082
Пенягино,Митино,Красногорск,Москва,55.822956,37.361115
Печатники,Текстильщики,Москва,Москва,55.692666,37.732356
Новомосковская,Коммунарка,Москва,Москва,55.559999,37.468689
Бунинская аллея,Южное Бутово,Москва,Москва,55.537976,37.515831
Лианозово,Лианозово,Москва,Москва,55.898884,37.54902
Боровское шоссе,Ново-Переделкино,Москва,Москва,55.647711,37.370176
Железнодорожная,,Балашиха,Московская область,55.752619,38.010415
Ухтомская,,Люберцы,Московская область,55.698804,37.86403
Мещерская,Солнцево,Москва,Москва,55.666807,37.42494
Пыхтино,Внуково,Москва,Москва,55.62461,37.296018
Красный Строитель,Бирюлёво Западное,Москва,Москва,55.5902,37.615317
Покровское,Чертаново Южное,Москва,Москва,55.602942,37.632074
Бутово,Южное Бутово,Москва,Москва,55.541256,37.570586
Тимирязевская,Тимирязевский,Москва,Москва,55.818886,37.576234
Кучино,,Балашиха,Московская область,55.752297,37.954107
Никольское,,Балашиха,Московская область,55.759651,37.897393
Косино,Выхино-Жулебино,Москва,Москва,55.705947,37.847186
Переделкино,Ново-Переделкино,Москва,Москва,55.656325,37.356492
Красногорская,,Красногорск,Московская область,55.81465,37.303341
Волоколамская,Митино,Москва,Москва,55.832148,37.382204
Салтыковская,,Балашиха,Московская область,55.757611,37.922914
Долгопрудная,,Долгопрудный,Московская область,55.940767,37.519706
Ольгино,,Балашиха,Московская область,55.751826,37.977928
Опалиха,,Красногорск,Московская область,55.822553,37.249316
Щербинка,Щербинка,Щербинка,Москва,55.510336,37.562253
Улица Скобелевская,Южное Бутово,Москва,Москва,55.548089,37.554462
Нахабино,,,Московская область,55.841644,37.184727
Баковка,,Одинцово,Московская область,55.682469,37.314034
Бульвар Адмирала Ушакова,Южное Бутово,Москва,Москва,55.545264,37.542472
Молжаниново,Молжаниновский,Москва,Москва,55.924589,37.380428
Солнечная,Солнцево,Москва,Москва,55.657166,37.384559
Марк,Лианозово,Москва,Москва,55.904655,37.538272
Битца,,,Московская область,55.571124,37.611483
Внуково,Внуково,Москва,Москва,55.64902,37.269322
Панки,,Люберцы,Московская область,55.668565,37.923228
Левобережная,,Химки,Московская область,55.886931,37.469175
Новохохловская,Нижегородский,Москва,Москва,55.724824,37.713138
Лобня,,Лобня,Московская область,56.013201,37.484991
Улица Горчакова,Южное Бутово,Москва,Москва,55.541967,37.53147
Новодачная,,Долгопрудный,Московская область,55.92442,37.527949
Сходня,,Химки,Московская область,55.949571,37.299532
Томилино,,,Московская область,55.65561,37.953571
Зеленоград-Крюково,Старое Крюково,Зеленоград,Москва,55.979922,37.17429
Улица Старокачаловская,Северное Бутово,Москва,Москва,55.569235,37.576731
Подольск,,Подольск,Московская область,55.432047,37.565745
Водники,,Долгопрудный,Московская область,55.952438,37.512638
Шереметьевская,,Долгопрудный,Московская область,55.983791,37.49884
Новомосковская,Коммунарка,,Москва,55.560737,37.465475
Новоподрезково,Молжаниновский,Москва,Москва,55.936368,37.352572
Силикатная,,Подольск,Московская область,55.470016,37.555528
Мичуринец,Внуково,Москва,Москва,55.646202,37.315395
Новопеределкино,Солнцево,Москва,Москва,55.637878,37.383376
Остафьево,Щербинка,Москва,Москва,55.485524,37.555018
Хлебниково,,Долгопрудный,Московская область,55.970774,37.504635
Подрезково,,Химки,Московская область,55.942609,37.3306
Лесной Городок,,,Московская область,55.632444,37.21847
Малаховка,,,Московская область,55.645527,38.007137
Красково,,,Московская область,55.649869,37.982972
Петровско-Разумовская,Марфино,Москва,Москва,55.83741,37.578637
Кокошкино,Внуково,Москва,Москва,55.599725,37.171214
Удельная,,,Московская область,55.634444,38.045365
Ильинская,,,Московская область,55.616275,38.100827
Отдых,,Жуковский,Московская область,55.601283,38.137474
Аникеевка,,Красногорск,Московская область,55.832216,37.219526
Солнечная,Солнцево,Москва,Москва,55.657122,37.38552
Быково,,,Московская область,55.626532,38.07133
Толстопальцево,Внуково,Москва,Москва,55.607696,37.186234
Апрелевка,,Апрелевка,Московская область,55.550163,37.067239
Фирсановская,,Химки,Московская область,55.960454,37.250564
Санино,Внуково,Москва,Москва,55.58365,37.137138
Фабричная,,Раменское,Московская область,55.572199,38.208572
Раменское,,Раменское,Московская область,55.565302,38.225548
Крёкшино,Внуково,Москва,Москва,55.577914,37.110043
Ипподром,,Раменское,Московская область,55.560698,38.238564
Кратово,,,Московская область,55.592037,38.160101
Победа,,Апрелевка,Московская область,55.565618,37.092443
Есенинская,,Раменское,Московская область,55.582517,38.183317
Военно-социальный центр Министерства обороны России,Арбат,Москва,Москва,55.752198,37.604347
