id,building_id,address,lat,lon,building_floors,material,accessible_entrance,temporary_closed,created_at,updated_at,hours_per_day,branch_count,branches_in_moll,country,region,district_area,city,living_area,title,content,extension,rating,rating_cnt,parking,free_parking,payed_parking,nearest_station,nearest_station_type,nearest_station_d,count_stations,all_stations,district
70000001007401566_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I11771178-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G1732000017H88I1I20J1B4C93b,4504235282573709,"улица Борисовские Пруды, 26 к2",55.638971,37.759126,3.0,Железобетон,"Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,139.0,Россия,Москва,,Москва,,БраVо!,Торгово-развлекательные центры,торгово-развлекательный центр,4.6,26.0,506,1,505,Алма-Атинская,['metro'],750.0,2,"{'Алма-Атинская': {'distance': 750, 'comment': 'Замоскворецкая линия', 'route_types': ['metro']}, 'Борисово': {'distance': 1400, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}}",Братеево
4504127908388236_xxA8s8ucdBdB9A826J7H3J2J1GIIGHG3qsnhy59A39-c17d04384228I193B9258-d8d5048B995J28A376324815ABI5HJIf8i3b78B8d33G4G148241279H69J2H3AG4969C22,4504235282599202,"улица Перерва, 43 к1",55.660331,37.751322,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,172.0,Россия,Москва,,Москва,,БУМ,Торгово-развлекательные центры,торгово-развлекательный центр,4.5,144.0,2,2,0,Братиславская,['metro'],40.0,3,"{'Братиславская': {'distance': 40, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}, 'Марьино': {'distance': 1100, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}, 'Люблино': {'distance': 1900, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}}",Марьино
70000001022624540_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I13293476-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G1732000011H8AI1I20J1B4C98b,4504235283152858,"Чечёрский проезд, 51",55.52423,37.517875,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь",,,2026-02-18,12.0,1,252.0,Россия,Москва,,Москва,,Бутово Молл,Торгово-развлекательные центры,торгово-развлекательный центр,4.7,182.0,1052,1,1051,Бунинская аллея,['metro'],1700.0,1,"{'Бунинская аллея': {'distance': 1700, 'comment': 'Бутовская линия', 'route_types': ['metro']}}",Щербинка
4504127908388549_xxA8s8ucdBdB9A826J7H3J2J1GIIGHG3qsnhy59A39-c17d04384228I193B956B-d8d5048B995J28A376324815ABI5HJIf8i3b78B8d33G4G148241279H6BJ2H3AG4969C25,4504235282572997,"Варшавское шоссе, 87Б",55.653716,37.620619,4.0,Железобетон,"Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-12-17,12.0,1,108.0,Россия,Москва,,Москва,,Варшавский,Торгово-развлекательные центры,торгово-досуговый центр,4.0,160.0,301,1,300,Варшавская,['metro'],110.0,2,"{'Варшавская': {'distance': 110, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}, 'Каховская': {'distance': 1300, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}}",Нагорный
70000001006363299_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I1166734B-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G173200001AH8CI1I20J1B4C955,4504235283150435,"МКАД 84 километр, 1",55.913202,37.584061,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь",,,2025-12-03,12.0,2,220.0,Россия,Московская область,Мытищи городской округ,,Алтуфьево,Весна,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,124.0,3805,3802,3,Алтуфьево,['metro'],1900.0,1,"{'Алтуфьево': {'distance': 1900, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}}",
4504128908407841_y7rm93c8dBdB9A826J7H4J2J1GIIGHG3e1tAcAy939-c17d04384238I19438863-d8d5048B995J28A376324825ABI5HJIf8i3b78B8d33G4G148241289H85J2H3AG4969C3d,4504235283112472,"Парковая улица, 2",55.582528,37.912539,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-10-13,12.0,2,124.0,Россия,Московская область,Лыткарино городской округ,Лыткарино,3-й м-н,Весна,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,22.0,351,351,0,ДК Мир,"['bus', 'shuttle_bus']",300.0,1,"{'ДК Мир': {'distance': 300, 'comment': None, 'route_types': ['bus', 'shuttle_bus']}}",
4504127918810247_y7rm93c8dBdB9A826J7H4J2J1GIIGHG3e1tAcAy939-c17d04384238I29841269-d8d5048B995J28A376324825ABI5HJIf8i3b78B8d33G4G148241279H86J2H3AG4969Cdc,4504235283022827,"Венёвская улица, 6",55.548037,37.54357,4.0,Железобетон,"Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-12-15,12.0,1,93.0,Россия,Москва,,Москва,,Витте Молл,Торгово-развлекательные центры,торгово-развлекательный центр,4.6,46.0,381,1,380,Бульвар Адмирала Ушакова,['metro'],500.0,3,"{'Бульвар Адмирала Ушакова': {'distance': 500, 'comment': 'Бутовская линия', 'route_types': ['metro']}, 'Улица Скобелевская': {'distance': 800, 'comment': 'Бутовская линия', 'route_types': ['metro']}, 'Улица Горчакова': {'distance': 1300, 'comment': 'Бутовская линия', 'route_types': ['metro']}}",Южное Бутово
70000001007199547_y7rm93c8dBdB9A826J7H4J2JH0IIGHGJe1tAcAy939-c17d04384238I1174A976-d8d5048B995J28A37632482A5BBJ3JIf8i3b78B8d33G4G1732000018HA7I1I20J1B4C9dd,4504235283130842,"Головинское шоссе, 5 к1",55.840268,37.491972,28.0,Железобетон,"Пандус, Вызов персонала, Широкий лифт, Туалет для маломобильных людей, Доступный вход для людей с инвалидностью",,,2025-08-29,12.0,1,331.0,Россия,Москва,,Москва,,Водный,"Бизнес-центры,Торгово-развлекательные центры",многофункциональный комплекс,4.6,152.0,904,49,855,Водный стадион,['metro'],250.0,2,"{'Водный стадион': {'distance': 250, 'comment': 'Замоскворецкая линия', 'route_types': ['metro']}, 'Балтийская': {'distance': 1900, 'comment': 'Московское центральное кольцо', 'route_types': ['mcc']}}",Головинский
70000001023630966_y7rm93c8dBdB9A826J7H4J2JH0IIGHGJe1tAcAy939-c17d04384238I133940B8-d8d5048B995J28A37632482A5BBJ3JIf8i3b78B8d33G4G1732000017HA8I1I20J1B4C9d4,4504235283377819,"площадь Ленина, 5",55.321541,38.672637,5.0,Железобетон,"Пандус, Широкий лифт, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-10-02,12.0,1,85.0,Россия,Московская область,Воскресенск городской округ,Воскресенск,Центральный м-н,Воскресенск,Торгово-развлекательные центры,торгово-развлекательный центр,4.2,29.0,131,131,0,пл. 88км,['suburban_train'],1200.0,1,"{'пл. 88км': {'distance': 1200, 'comment': None, 'route_types': ['suburban_train']}}",
4504127908875165_y7rm93c8dBdB9A826J7H4J2J1GIIGHG3e1tAcAy939-c17d04384238I198A6187-d8d5048B995J28A376324825ABI5HJIf8i3b78B8d33G4G148241279H89J2H3AG4969Ccb,4504235282620769,"Кутузовский проспект, 48",55.731917,37.488226,5.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь",,,2025-12-24,11.0,1,119.0,Россия,Москва,,Москва,,Времена года,Торгово-развлекательные центры,галерея,4.4,40.0,601,1,600,Славянский бульвар,['metro'],1100.0,3,"{'Славянский бульвар': {'distance': 1100, 'comment': 'Арбатско-Покровская линия', 'route_types': ['metro']}, 'Филёвский парк': {'distance': 1500, 'comment': 'Филёвская линия', 'route_types': ['metro']}}",Фили-Давыдково
