title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Научно-исследовательский клинический институт детства Минздрава Московской области,консультативно-диагностический центр №1,Детские поликлиники,"Большая Серпуховская улица, 62",,115093.0,Даниловский,Москва,Москва,3.4,18.0,55.718576,37.62517,branch
Детская поликлиника №69,филиал №3,Детские поликлиники,"улица Винокурова, 14",,117447.0,Академический,Москва,Москва,3.7,6.0,55.686545,37.590848,branch
Консультативно-поликлиническое отделение,,Взрослые поликлиники; Детские поликлиники,"Малый Казённый переулок, 5а ст3",,105064.0,Басманный,Москва,Москва,3.0,2.0,55.762217,37.654832,branch
Поликлиника №5,терапевтическое отделение,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",3 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,хирургическое отделение,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",6 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,оториноларингологическое отделение,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",412 кабинет; 4 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,рентгенологическое отделение,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",3 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,отделение функциональной диагностики,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",706-712 офис; 706-712 кабинет; 7 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,отделение ультразвуковой диагностики,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",712 кабинет; 7 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №5,отделение восстановительного лечения и медицинской реабилитации,Взрослые поликлиники,"Ермолаевский переулок, 22-26 ст1",205 кабинет; 2 этаж,123001.0,Пресненский,Москва,Москва,,,55.76624,37.594762,branch
Поликлиника №46,неврологическое отделение,Взрослые поликлиники,"Воронцовская улица, 14 ст1",,109044.0,Таганский,Москва,Москва,,,55.737864,37.65687,branch
Поликлиника №46,отделение восстановительного лечения и медицинской реабилитации,Взрослые поликлиники,"Воронцовская улица, 14 ст1",,109044.0,Таганский,Москва,Москва,,,55.737864,37.65687,branch
Поликлиника №5,отделение платных услуг,Взрослые поликлиники; Медицинские анализы; Медицинская диагностика; Терапевт; Кардиолог; Гастроэнтеролог; Эндокринолог; Инфекционист; Физиотерапевт; Занятия ЛФК; Хирург; Травматолог-ортопед; Уролог; Андролог; Онколог; Психиатр; Мануальный терапевт; Офтальмолог; ЛОР (отоларинголог); Рефлексотерапевт; Невролог; Дерматолог; Ревматолог; Аллерголог-иммунолог; Пульмонолог; Гинеколог; Маммолог; Проктолог,"Горлов тупик, 4",2 этаж,127055.0,Тверской,Москва,Москва,,,55.785865,37.592858,branch
Поликлиника №46,отделение ОРВИ,Взрослые поликлиники,"Воронцовская улица, 14 ст1",1 этаж,109044.0,Таганский,Москва,Москва,,,55.737781,37.656395,branch
Поликлиника №5,отделение ультразвуковой диагностики,Взрослые поликлиники,"Большая Бронная улица, 3",303 кабинет; 3 этаж,123104.0,Пресненский,Москва,Москва,,,55.760483,37.597744,branch
Поликлиника №5,клинико-диагностическая лаборатория,Взрослые поликлиники,"Большая Бронная улица, 3",,123104.0,Пресненский,Москва,Москва,,,55.760483,37.597744,branch
Поликлиника №5,центр амбулаторной хирургии,Взрослые поликлиники,"Большая Бронная улица, 3",,123104.0,Пресненский,Москва,Москва,,,55.760483,37.597744,branch
Поликлиника №5,неврологическое отделение,Взрослые поликлиники,"Большая Бронная улица, 3",,123104.0,Пресненский,Москва,Москва,,,55.760483,37.597744,branch
Консультативно-поликлиническое отделение,отделение платных услуг,Взрослые поликлиники; Детские поликлиники; Вакцинация; Медицинские анализы; ЛОР (отоларинголог); Процедурный кабинет,"Малый Казённый переулок, 5а ст3",,105064.0,Басманный,Москва,Москва,,,55.762217,37.654832,branch
Поликлиника №62,отделение ультразвуковой диагностики,Взрослые поликлиники,"Ленинградский проспект, 18а",,125040.0,Беговой,Москва,Москва,,,55.782201,37.576902,branch
Поликлиника №62,отделение ОРВИ,Взрослые поликлиники,"Ленинградский проспект, 18а",,125040.0,Беговой,Москва,Москва,,,55.782328,37.576803,branch
