title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Bionika,центр превентивной медицины,Частные стоматологии; Косметолог; Гинеколог; Ногтевые студии; Парикмахерские; Визажисты; Массажист; Оформление бровей и ресниц; Эндокринолог; Медицинские анализы; Нутрициолог,"Космодамианская набережная, 4/22 к Б",1 этаж,115035.0,Замоскворечье,Москва,Москва,5.0,212.0,55.744634,37.639425,branch
Bosco,стоматологическая клиника,Частные стоматологии,"Неглинная улица, 13",2 этаж,107031.0,Тверской,Москва,Москва,5.0,1.0,55.762423,37.619873,branch
Brainmark,стоматология,Частные стоматологии; Частные детские стоматологии,"2-я Тверская-Ямская улица, 20-22 ст2",1 этаж,125047.0,Тверской,Москва,Москва,4.6,23.0,55.772072,37.594152,branch
BreketClub,стоматологическая клиника,Частные стоматологии,"улица Верхняя, 20 к1",1 этаж,125040.0,Беговой,Москва,Москва,,,55.779845,37.574113,branch
Centr-Estet,стоматологическая клиника,Частные стоматологии,"Каланчёвская улица, 32",1 этаж; вход с торца,129090.0,Красносельский,Москва,Москва,5.0,49.0,55.779427,37.645841,branch
Centr-Estet,стоматологическая клиника,Частные стоматологии,"улица Госпитальный Вал, 5 к11",1 этаж,105094.0,Басманный,Москва,Москва,4.9,69.0,55.772898,37.707339,branch
Cid,клиника инновационной стоматологии,Частные стоматологии,"Мытная улица, 7 ст1",1 этаж,119049.0,Замоскворечье,Москва,Москва,4.7,15.0,55.722097,37.617643,branch
CityMed,медицинский центр,Частные стоматологии; Медицинские анализы,"Можайский переулок, 5",1 этаж,121165.0,Дорогомилово,Москва,Москва,4.5,16.0,55.739683,37.547871,branch
CityMed,медицинский центр,Частные стоматологии; Многопрофильные медицинские центры; Медицинская диагностика; Медицинские анализы; Медицинские комиссии; Уролог; Травматолог-ортопед; Гинеколог; Дерматолог; Процедурный кабинет; Вакцинация; Терапевт; Косметолог; Невролог; Детские врачи; ЛОР (отоларинголог); Андролог; Офтальмолог; Онколог,"Старая Басманная улица, 7 ст1",2 этаж,105064.0,Басманный,Москва,Москва,4.6,69.0,55.764675,37.657678,branch
Clinic In,стоматологический центр,Частные стоматологии,"Сеченовский переулок, 2",,119034.0,Хамовники,Москва,Москва,4.8,19.0,55.740791,37.596786,branch
Colibri Dental,стоматологический центр,Частные стоматологии,"Краснопролетарская улица, 7",1 этаж,127006.0,Тверской,Москва,Москва,4.1,4.0,55.775051,37.607397,branch
Complex Smile,,Частные стоматологии,"Комсомольский проспект, 41",,119270.0,Хамовники,Москва,Москва,4.9,33.0,55.721195,37.574952,branch
Concept dental studio,стоматологическая клиника,Частные стоматологии,"Грузинский Вал улица, 26 ст1",,123056.0,Пресненский,Москва,Москва,5.0,2.0,55.774168,37.58173,branch
Cosmetic Dent,стоматологическая клиника,Частные стоматологии,"проспект Мира, 70а",1 этаж,129110.0,Мещанский,Москва,Москва,5.0,3.0,55.788255,37.636171,branch
Crocodent,федеральная стоматологическая клиника,Частные стоматологии; Частные детские стоматологии,"Большой Факельный переулок, 18 ст1",,109004.0,Таганский,Москва,Москва,4.9,33.0,55.741354,37.664476,branch
Crocodent,федеральная стоматологическая клиника,Частные стоматологии; Частные детские стоматологии,"Шмитовский проезд, 3 ст2",1-2 этаж,123100.0,Пресненский,Москва,Москва,4.9,44.0,55.758354,37.555229,branch
Cтоматологическая поликлиника,,Стоматологические поликлиники,"1-й Краснокурсантский проезд, 1/5",1 этаж,111033.0,Лефортово,Москва,Москва,1.3,4.0,55.757689,37.691633,branch
Dante Sage Club,стоматология,Частные стоматологии,"3-й Донской проезд, 1",1 этаж,115419.0,Донской,Москва,Москва,4.0,4.0,55.711098,37.598859,branch
Dazhaev,стоматологическая клиника,Частные стоматологии; Частные детские стоматологии,"3-я улица Ямского Поля, 9 к6",Н102 офис; 1 этаж,125124.0,Беговой,Москва,Москва,,,55.781035,37.581041,branch
Degna Clinic,стоматологический кабинет,Частные стоматологии,"Большой Овчинниковский переулок, 10",,115184.0,Замоскворечье,Москва,Москва,,,55.743818,37.632235,branch
DemoStom,стоматологический центр,Частные стоматологии,"набережная Тараса Шевченко, 1",1 этаж,121059.0,Дорогомилово,Москва,Москва,5.0,2.0,55.747306,37.572126,branch
Den Mark,стоматологический кабинет,Частные стоматологии,"1-й Волконский переулок, 15",1 этаж,127473.0,Тверской,Москва,Москва,,,55.774652,37.617833,branch
Densa med,стоматологическая клиника,Частные стоматологии,"5-й Котельнический переулок, 12",1/1 помещение; 1 этаж,115172.0,Таганский,Москва,Москва,5.0,2.0,55.741728,37.648078,branch
Denta class,медицинский центр,Частные стоматологии; Многопрофильные медицинские центры; Гинеколог; Ведение беременности; Кардиолог; Терапевт; Невролог; Хирург; Уролог; ЛОР (отоларинголог); Медицинские анализы,"Валовая улица, 32/75 ст2",2 этаж,115054.0,Замоскворечье,Москва,Москва,5.0,1.0,55.730342,37.626325,branch
Dental,стоматология,Частные стоматологии,"Таможенный проезд, 6 ст3",314 офис; 3 этаж,111033.0,Лефортово,Москва,Москва,,,55.751199,37.679283,branch
Dental A.R.T. Center,стоматологическая клиника,Частные стоматологии,"1-я Брестская улица, 33 ст2",1 этаж,125047.0,Тверской,Москва,Москва,4.1,42.0,55.772499,37.589192,branch
