title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Bodro Coffee,экспресс-кофейня,Быстрое питание; Точки кофе,"Манежная площадь, 1 ст2",-1 этаж,125009.0,Тверской,Москва,Москва,4.8,74.0,55.756821,37.615313,branch
Bollo,городская кофейня,Кофейни,"Васильевская улица, 2 к1",1 этаж,123056.0,Пресненский,Москва,Москва,4.2,39.0,55.770028,37.585474,branch
Boring coffee,,Кофейни,"Кутузовский проспект, 32 к Е",,121170.0,Дорогомилово,Москва,Москва,,,55.741332,37.530975,branch
Breaddy,кафе,Кофейни; Кафе; Кондитерские изделия,"Поварская улица, 8/1 к1",1 этаж,121069.0,Арбат,Москва,Москва,,,55.753911,37.599056,branch
Breakfast,кафе,Кофейни; Кафе-кондитерские,"Малая Никитская улица, 2/1 ст1",1 этаж,121069.0,Пресненский,Москва,Москва,4.2,70.0,55.757911,37.597318,branch
Bubble Coffee,,Кофейни,"Большая Никитская улица, 24/1",1 этаж,125009.0,Пресненский,Москва,Москва,,,55.7572,37.601784,branch
Budil`nik,кофейня,Кофейни,"Кутузовский проспект, 27",,121165.0,Дорогомилово,Москва,Москва,4.8,7.0,55.74375,37.546126,branch
Cafe et croissan,кофейня,Кофейни,"Краснопресненская набережная, 14а к1",,123100.0,Пресненский,Москва,Москва,3.7,3.0,55.751108,37.549647,branch
Caffe Diemme,кофейня,Кофейни; Продажа кофе,"Смоленский бульвар, 3-5 ст1Б",,119121.0,Хамовники,Москва,Москва,5.0,1.0,55.739904,37.584338,branch
Caffe Diemme,кофейня,Кофейни; Продажа кофе,"3-я Фрунзенская улица, 1",1 этаж,119270.0,Хамовники,Москва,Москва,4.2,41.0,55.719035,37.582107,branch
Caffe Pascucci Bio,кофейня,Кофейни,"Самокатная улица, 4 ст7",1 этаж,111033.0,Лефортово,Москва,Москва,4.7,11.0,55.756819,37.678934,branch
Caffetteria,кафе,Кофейни,"Киевская улица, 2",1 этаж,121059.0,Дорогомилово,Москва,Москва,3.3,3.0,55.743478,37.562762,branch
Check point,кофейня,Быстрое питание; Точки кофе,"Шарикоподшипниковская улица, 13 ст46",,115088.0,Южнопортовый,Москва,Москва,,,55.721782,37.685067,branch
Chill coffee,экспресс-кофейня,Быстрое питание; Точки кофе,"Нижегородская улица, 32 ст15",1 этаж,109029.0,Таганский,Москва,Москва,5.0,1.0,55.736523,37.694852,branch
chill. tea&drinks,кофейня,Кофейни,"Краснопрудная улица, 22/24",,107140.0,Красносельский,Москва,Москва,5.0,5.0,55.778433,37.664418,branch
Cinnabon,кафе-пекарня,Кофейни,"улица Покровка, 14/2 ст1",цокольный этаж,101000.0,Басманный,Москва,Москва,1.1,57.0,55.759144,37.644996,branch
Clever,кофейня,Кофейни; Студии загара,"улица Тимура Фрунзе, 36/5",1 этаж,119021.0,Хамовники,Москва,Москва,4.8,8.0,55.737441,37.584632,branch
Clever,кофейня,Кофейни; Доставка еды,"Люсиновская улица, 36 ст1",1 этаж,115093.0,Замоскворечье,Москва,Москва,5.0,3.0,55.723469,37.621237,branch
Clever coffee,кофейня с выпечкой,Кофейни,"Уланский переулок, 23",1 этаж,107045.0,Красносельский,Москва,Москва,4.9,47.0,55.77027,37.641636,branch
Cobalt Coffee,кофейня,Кофейни,"Донская улица, 14",1 этаж,119049.0,Якиманка,Москва,Москва,4.5,21.0,55.722333,37.606253,branch
Cofan,кофейня,Кофейни; Доставка еды,"Новая Басманная улица, 19 ст1",1 этаж,107078.0,Красносельский,Москва,Москва,4.6,62.0,55.769821,37.659563,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"улица Фадеева, 8",1 этаж,125047.0,Тверской,Москва,Москва,,,55.775559,37.59752,branch
CofeFest,экспресс-кофейня,Кофейни; Кулинарии; Кондитерские изделия,"Большой Николопесковский переулок, 4 ст1",ГП № 68,119002.0,Арбат,Москва,Москва,,,55.750295,37.590806,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"улица Малая Якиманка, 22 ст1",около 101 кабинета,119180.0,Якиманка,Москва,Москва,2.0,1.0,55.73812,37.616669,branch
CofeFest,экспресс-кофейня,Кофейни; Кулинарии; Кафе-кондитерские,"улица Антонова-Овсеенко, 8",1 этаж; يمين крыло,123317.0,Пресненский,Москва,Москва,,,55.757865,37.536035,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Смоленский бульвар, 24 ст4",,119002.0,Хамовники,Москва,Москва,2.3,3.0,55.743181,37.586361,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Большой Козловский переулок, 9",1 этаж,107078.0,Басманный,Москва,Москва,,,55.766941,37.647467,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Ольховская улица, 35 ст1",1 этаж,105066.0,Красносельский,Москва,Москва,4.0,4.0,55.777236,37.672742,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"улица Лестева, 5",1 этаж,115191.0,Даниловский,Москва,Москва,5.0,1.0,55.71447,37.617153,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"1-я Квесисская улица, 8/10",,127015.0,Савёловский,Москва,Москва,5.0,1.0,55.794056,37.581578,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Вятская улица, 37",,127015.0,Савёловский,Москва,Москва,4.0,3.0,55.798983,37.580806,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Сибирский проезд, 1 ст1",1 этаж; детская поликлиника №104,109029.0,Таганский,Москва,Москва,3.1,4.0,55.733597,37.680636,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Иерусалимская улица, 4 к1",1 этаж,109316.0,Таганский,Москва,Москва,4.3,7.0,55.733007,37.67617,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"улица Матросская Тишина, 14",1 этаж; справа от входа,107076.0,Сокольники,Москва,Москва,3.8,3.0,55.789793,37.694698,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Сверчков переулок, 5 ст2",1 этаж; Консультативно-диагностическая поликлиника,101000.0,Басманный,Москва,Москва,5.0,2.0,55.760943,37.640415,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"улица Плющиха, 42 с1",1 этаж,119121.0,Хамовники,Москва,Москва,4.0,3.0,55.740721,37.57527,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Успенский переулок, 8",1 этаж,127006.0,Тверской,Москва,Москва,5.0,2.0,55.768679,37.60778,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Проточный переулок, 3-5 ст1",1 этаж,121099.0,Арбат,Москва,Москва,5.0,2.0,55.750181,37.581305,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Береговой проезд, 5а к1",1 этаж,121087.0,Филёвский парк,Москва,Москва,4.4,8.0,55.754998,37.50898,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Яузская улица, 11/6 к5","4, 5 корпус; 1 этаж",109004.0,Таганский,Москва,Москва,5.0,7.0,55.745971,37.652275,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия; Пекарни,"Большой Саввинский переулок, 12 ст16",1 этаж; 7 подъезд,119435.0,Хамовники,Москва,Москва,3.0,3.0,55.731275,37.561254,branch
CofeFest,экспресс-кофейня,Кофейни; Кондитерские изделия,"Яузская улица, 11/6 к4",1 этаж,109240.0,Таганский,Москва,Москва,4.8,23.0,55.746201,37.650532,branch
Coffee,кофейня,Кофейни,"Комсомольская площадь, 5",1 этаж,107140.0,Красносельский,Москва,Москва,4.6,129.0,55.77626,37.657058,branch
Coffee,кофейня,Кофейни,"площадь Тверская Застава, 7",1 этаж,125047.0,Тверской,Москва,Москва,4.8,138.0,55.776155,37.581765,branch
Coffee,кофейня,Кофейни,"Душинская улица, 7 ст1",1 этаж,111024.0,Лефортово,Москва,Москва,4.4,17.0,55.74525,37.706002,branch
Coffee & kitchen,кофейня,Быстрое питание; Точки кофе,"1-я Дубровская улица, 13а ст2",1 этаж; за линией турникетов,115088.0,Южнопортовый,Москва,Москва,,,55.724336,37.673514,branch
Coffee 42,кофейня,Кофейни,"Багратионовский проезд, 1а к1",1 этаж,121087.0,Филёвский парк,Москва,Москва,4.7,13.0,55.745989,37.513286,branch
