title,lat,lon,avg_price,capacity
Golden monkey,55.779981,37.601135,859,
Goldfinch pub,55.751678,37.516079,1400,49
Grande friends forever,55.743079,37.601059,3000,110
Gregori,55.751279,37.515407,1350,18
Guns&Bears Pub,55.786048,37.595669,1500,180
Guru Cafe,55.77103,37.591948,,
Hanoi,55.754601,37.655813,1000,46
Harat`s pub,55.793442,37.612803,2500,110
Harat`s pub,55.782261,37.702966,1500,90
Harat`s pub,55.769289,37.631982,1500,60
Harat`s pub,55.760881,37.622726,2500,120
Harat`s pub,55.782937,37.598091,1000,45
Harat`s pub,55.729092,37.630536,2300,65
Harat`s pub,55.74073,37.65428,1500,140
Harat`s pub,55.758745,37.641996,1500,120
Hello Kitty and friends,55.760454,37.625048,1550,
Hi Малатан,55.782528,37.601433,700,30
Hidden bar,55.760024,37.614077,2000,80
Hoi An,55.783639,37.635844,850,150
Holi yoga&cafe,55.77982,37.581357,1550,25
Holi yoga&cafe,55.736763,37.625766,1550,10
I like pizza,55.735902,37.5867,4000,
Ibis Kitchen,55.723916,37.634645,3500,84
If,55.754853,37.645413,,40
Il pizzaiolo,55.760436,37.614573,1600,35
Il pizzaiolo,55.765844,37.602929,1600,50
Il pizzaiolo,55.749902,37.593266,1600,60
Il pizzaiolo,55.748605,37.608838,1600,90
Il pizzaiolo,55.75678,37.621798,1600,36
Imperial,55.777115,37.661465,2000,135
In Crosta,55.801532,37.636584,1500,30
Istanbul,55.752332,37.595889,1250,
Izumi,55.766246,37.640137,2000,80
J`pan,55.74671,37.582032,,
J`pan,55.754522,37.637588,1650,
J`pan,55.761239,37.614893,1500,80
J`pan,55.744729,37.627281,1500,60
J`pan,55.777954,37.598722,1500,55
J`pan,55.762043,37.634193,1500,42
J`pan,55.77053,37.624945,1500,32
Japmen Sushi Space,55.762223,37.659296,1150,20
Jnkl,55.726271,37.570918,2100,56
Joja coffee,55.740197,37.630033,1150,21
Family Villa,55.708048,37.590737,1500,20
Jooie,55.765264,37.568266,1200,55
Jules zang,55.751336,37.663676,1350,22
Kalabasa,55.762569,37.679773,1450,80
Kaufman Cafe,55.770856,37.683139,,
Kebab Ø18,55.758765,37.64587,600,
Kemer BBQ,55.748847,37.588908,,110
Keto&Kote,55.780642,37.606093,1350,60
Killfish,55.782673,37.598654,900,
Killfish,55.758968,37.644414,900,150
kiosk 1936,55.761982,37.642774,1400,60
Klubique,55.772734,37.610314,650,
Kom Pizza,55.760028,37.652886,1000,40
Komugi,55.757318,37.633374,800,60
Kono,55.728135,37.611489,450,18
Kono,55.782343,37.599733,500,1500
Kono,55.771596,37.682822,500,
Kook,55.768238,37.615782,1400,40
Korean Grill BBQ Tokpokki,55.783035,37.59806,1250,65
Kristof Coffee and Kitchen,55.744397,37.63077,1000,
Kulёk,55.770817,37.632305,1600,
Kulёk,55.758534,37.639601,1600,55
Kulёk,55.779807,37.593102,1600,
Kulёk,55.757111,37.599141,1600,35
Kulёk,55.760256,37.614706,1600,64
Kuzu,55.779852,37.600783,,
La Campania,55.737366,37.60902,1500,70
La Provincia,55.727791,37.613491,1400,200
La spezia,55.725598,37.579045,1650,86
La virgen,55.758666,37.629652,1000,40
La Вилка,55.738147,37.654875,1550,50
