house_id,lat,lon,price_per_m2,building_type,object_type,levels,ads_count
600309.0,55.5450419,37.5596278,228952.51396648047,0,0,12,3
600339.0,55.6849619,37.6756173,242449.9109003359,0,0,5,4
600447.0,55.69834,37.49293,307958.129101893,0,0,9,12
600508.0,55.761513,37.732277,266178.11643580045,5,0,16,9
600670.0,55.756264,37.697575,146675.57515597148,4,0,7,3
600756.0,55.4532145,37.2997346,119750.0,0,0,3,1
600803.0,55.7081822,37.7730015,236384.60430865438,2,0,5,13
601096.0,55.76819,37.823574,183820.99376604328,0,0,9,4
601138.0,55.8403666,37.6603797,237960.33994334278,5,0,12,1
601142.0,55.693292,37.471524,342342.5582161814,3,0,22,32
601261.0,55.6860587,37.599827,293233.3090025729,5,0,16,8
601341.0,55.6906666,37.6330676,382978.72340425535,0,0,15,1
601418.0,55.8016861,37.7854556,220743.30751460796,0,0,5,2
601762.0,55.743725,37.82838,217881.9769213199,0,0,9,20
601762.0,55.7437553,37.828351,198888.88888888888,2,0,9,1
601804.0,55.738155,37.628605,457580.49398866517,0,0,14,5
601881.0,55.644938,37.531505,285136.0439791666,2,0,9,7
601944.0,55.791,37.711617,344941.0722237077,3,0,10,9
601972.0,55.600533,37.66998,228571.42857142858,0,0,16,1
601987.0,55.7385993,37.8693244,240872.59758968413,0,0,17,2
602068.0,55.69429,37.738873,238095.2380952381,5,0,9,1
602109.0,55.67062,37.7664711,216911.76470588235,0,0,12,1
602119.0,55.721868,37.892529,211555.7069355276,0,0,24,4
602130.0,55.7500914,37.5946787,478902.39639989636,4,0,4,18
602165.0,55.861489,37.417544,265114.6230664196,2,0,17,5
602179.0,55.895272,37.568524,207598.63267340834,0,0,9,2
602305.0,55.6530166,37.471809,441062.02087414666,3,0,37,122
602315.0,55.9192011,37.5507891,146000.0,0,0,3,1
602395.0,55.659286,37.465084,271523.25533606677,2,0,17,25
602466.0,55.5774108,37.4740249,215750.66855636807,0,0,17,21
602494.0,55.7042968,37.9388625,185674.641185061,2,0,17,15
602666.0,55.7477664,37.7705796,217538.97550111357,5,0,12,3
602666.0,55.74786,37.77052,178395.06172839506,2,0,12,1
602899.0,55.758392,37.53695,331607.6084175743,0,0,9,9
603041.0,55.7473425,37.5876226,601747.2321428572,4,0,5,3
603085.0,55.550687,37.509361,220102.0389538536,0,0,15,19
603094.0,55.726208,37.811905,196629.50575994057,5,0,14,3
603145.0,55.61606,37.600433,176078.71941187975,3,0,24,274
603263.0,55.676641,37.636105,244230.76923076922,2,0,20,1
603480.0,55.769882,37.67554,333458.80045516643,0,0,14,7
603481.0,55.636687,37.315415,225516.61584214823,0,0,17,31
603540.0,55.616254,37.414805,287769.3688209821,0,0,25,41
603559.0,55.770618,37.667716,320359.5999479245,4,0,9,6
603617.0,55.547825,37.527301,232638.06477283643,0,0,14,8
603638.0,55.719825,37.522189,359250.3172135398,0,0,9,5
603801.0,55.5776399,37.4789384,262628.3428495328,0,0,24,126
603819.0,55.860645,37.469835,247632.62235643287,0,0,17,6
603846.0,55.6415941,37.5041342,286280.825627371,2,0,17,9
603883.0,55.747368,37.661338,291529.15291529155,4,0,8,3
603964.0,55.7598517,37.6444209,829034.7909843059,4,0,7,13
604067.0,55.869329,37.591234,287329.0598290598,0,0,22,3
604073.0,55.7337592,37.7455709,223657.60016490423,2,0,9,17
604179.0,55.7518805,37.7824601,246045.6942003515,2,0,24,1
604349.0,55.73486,37.43922,272197.41081769386,4,0,14,6
604354.0,55.6436208,37.6161009,300000.0,0,0,9,1
604387.0,55.729904,37.45079,290113.9868712883,4,0,22,5
604415.0,55.680828,37.662821,280949.6345845169,0,0,9,23
604547.0,55.588781,37.639455,203850.41425103537,0,0,12,7
604626.0,55.71153,37.40265,257103.54229136606,0,0,9,7
604691.0,55.852864,37.409226,306968.13822549855,0,0,5,5
604797.0,55.687897,37.584045,363547.9810330625,0,0,14,7
604847.0,55.763999,37.648492,401947.5920679887,0,0,4,4
604899.0,55.6556323,37.4125757,194331.98380566802,2,0,9,1
604899.0,55.655696,37.412667,217215.3054979728,2,0,9,11
604901.0,55.6435187,37.5165012,339285.71428571426,0,0,5,1
604901.0,55.643612,37.51653,280028.30277838075,0,0,5,32
604933.0,55.7231199,37.7852074,205816.09049453482,0,0,5,8
604933.0,55.723135,37.7851181,207373.4284743459,0,0,5,2
604985.0,55.727942,37.777167,243800.34392252692,0,0,12,2
605152.0,55.7718453,37.5936022,383858.79757308325,4,0,5,7
605210.0,55.78146,37.572433,421058.78592099063,0,0,7,4
605265.0,55.6907597,37.8588174,188628.27695160705,2,0,14,8
605312.0,55.758373,37.56115,316398.2843137255,0,0,4,8
605434.0,55.5310671,37.5221734,220720.74293573978,0,0,7,3
605473.0,55.8062537,37.4479596,293103.4482758621,3,0,32,1
605475.0,55.7398063,37.4217928,239473.68421052632,0,0,17,1
605475.0,55.739858,37.421874,310077.41975711513,0,0,17,12
605564.0,55.6048446,37.1691586,164925.46489552574,4,0,5,11
605569.0,55.65469,37.38236,239360.90225563908,0,0,14,3
605588.0,55.675524,37.55443,268710.62035661103,0,0,12,3
605660.0,55.7566114,37.7896121,257548.70349261424,0,0,14,12
605733.0,55.683549,37.918625,180566.26034820834,0,0,14,8
605768.0,55.8015387,37.6085236,261893.77637761077,0,0,5,7
605851.0,55.664055,37.753245,222687.07712365134,0,0,22,40
605969.0,55.7528,37.686734,284627.9986531138,3,2,19,905
605986.0,55.775044,37.825622,217406.22216944382,0,0,12,13
605997.0,55.660095,37.566143,265775.7760532151,0,0,5,2
606098.0,55.7444725,37.8778555,198142.68131506728,2,0,17,8
606166.0,55.68868,37.584568,375753.2142202564,0,0,12,16
606205.0,55.7735287,37.6790389,475732.98099211865,0,0,12,1
606325.0,55.668117,37.574606,260451.67104550728,0,0,16,3
606486.0,55.7974901,37.5159193,291533.5463258786,4,0,7,1
606658.0,55.795342,37.603325,301623.1082383898,0,0,12,8
606681.0,55.751892,37.784767,242239.8570446644,0,0,5,5
607044.0,55.5885633,37.4560599,179582.8153059815,3,2,18,2
607056.0,55.717236,37.57398,443528.74207647773,4,0,9,4
607070.0,55.631097,37.521516,258599.35090797843,2,0,17,4
607299.0,55.7255954,37.4430664,310130.7329882695,0,0,9,6
607428.0,55.8112296,37.8243016,222149.5717402603,0,0,9,26
607436.0,55.8872747,37.3882076,349053.9311434834,0,0,3,2
607466.0,55.7949124,37.6993592,284227.204454702,4,0,6,3
607568.0,55.713863,37.71962,182065.21739130435,3,0,12,1
607702.0,55.7564423,37.6792708,297237.1031746032,0,0,16,4
607707.0,55.4967655,36.9208511,177142.85714285713,0,0,3,1
607772.0,55.71215,37.612507,413264.12934298627,3,0,8,13
607820.0,55.7896312,37.8091655,258400.0,0,0,12,2
