address,lat,lon,year,total_apartments,inhab_count,under_24_num,between_25_34_num,between_35_44_num,between_45_54_num,between_55_64_num,over_65_num,men_num,women_num,with_children_num,with_pets_num,with_car_num,median_income_pop,avg_hcs_cost_pop
"Россия, Москва, Полярная улица, 52 к4",55.8892,37.648602,1968.0,139.0,325.0684210526316,32.50684210526316,48.76026315789474,104.4769905263158,92.87204789473684,32.50684210526316,13.9454352631579,104.4769905263158,220.5914305263158,111.4659615789474,74.31064105263158,116.0819331578948,35003367.57894737,3215901.889473685
"Россия, Москва, Болотниковская улица, 3 к8",55.655207,37.614694,1987.0,139.0,303.0,35.0874,54.7521,79.2042,67.9932,44.7531,21.21,129.8355,173.1645,83.4765,75.35610000000001,105.5046,33562704.0,2715183.0
"Россия, Москва, квартал 3-й Капотня, 21",55.635179,37.802061,1969.0,139.0,327.3416267942584,33.15970679425838,65.59926200956939,121.836553492823,68.5126024880383,28.1186457416268,10.08212210526316,192.5096107177034,134.832016076555,98.07155138755984,74.27381511961725,173.032783923445,34634053.48133972,3831861.083253589
"Россия, Москва, Ленинский проспект, 152 к2",55.65435,37.488206,1968.0,139.0,327.3416267942584,54.40417837320576,60.19812516746413,91.03370641148327,75.35404248803829,28.60965818181819,17.77465033492823,175.9133902392345,151.428236555024,98.13701971291869,58.88875866028709,136.6651291866029,36457019.00095695,2968006.530143541
"Россия, Москва, квартал 3-й Капотня, 20",55.634267,37.801787,1969.0,139.0,327.3416267942584,35.35289569377991,61.18015004784691,94.56899598086127,78.49652210526318,39.15005856459332,18.59300440191388,182.9839693779905,144.357657416268,81.21345760765551,54.66605167464116,131.7222706220096,28933071.70909091,2977826.778947369
"Россия, Москва, Клинская улица, 19",55.868794,37.494665,1968.0,140.0,322.7952153110048,35.15239894736843,59.13608344497609,84.66918497607656,73.85554526315791,48.25788468899522,21.72411799043063,152.4561801913876,170.3390351196173,91.18964832535886,79.40762296650719,145.5483625837321,38276088.24593302,3470371.359808613
"Россия, Москва, Мытная улица, 40 к3",55.722776,37.61468,2022.0,140.0,318.2488038277513,30.80648421052632,82.1400162679426,112.087228708134,65.01823062200958,19.66777607655503,8.560892822966508,212.1764775119618,106.0723263157895,,,,52625303.95215312,
"Россия, Москва, Камчатская улица, 6 к2",55.827989,37.812506,1972.0,140.0,320.522009569378,35.06510784688996,57.1490743062201,88.78459665071772,69.39301507177034,45.61028196172249,24.51993373205742,152.2800067464115,168.2420028229665,89.74616267942585,79.20098856459332,129.7152572727273,27034108.37511962,3083421.732057417
"Россия, Москва, улица Героев Панфиловцев, 19",55.857712,37.425642,1967.0,140.0,318.2488038277513,38.44445550239235,64.69998181818183,88.05944401913877,65.08188038277514,43.09088803827752,18.84032918660287,151.5182555023924,166.7305483253589,91.94207942583735,68.96451578947371,111.4825559808613,32491611.62679426,3000131.473684211
"Россия, Москва, Онежская улица, 47",55.858003,37.508939,1968.0,140.0,320.522009569378,30.00086009569378,73.04696598086124,106.4774115789474,71.92513894736844,24.35967272727273,14.71196023923445,165.934244354067,154.587765215311,93.43216578947369,69.64943267942586,150.6453444976077,35686920.54545455,2599754.019617226
