lat,lon,price_per_m2,building_type,object_type,levels,ads_count
55.4967015534278,37.5254402532618,270044.13688242337,2,1,14,28
55.496996,36.91995,154829.54545454544,0,1,3,1
55.497118,36.913293,174094.70752089136,0,1,3,1
55.497256,37.519036,259689.92248062015,2,1,14,1
55.4975146319038,37.52487698937,395246.9831410825,2,1,12,1
55.497827,37.307276,303605.31309297914,3,1,5,1
55.497832,36.919914,124156.5452091768,3,1,3,1
55.498117,37.518039,408846.1538461539,0,1,10,1
55.498179,37.483445,189125.29550827426,2,1,5,1
55.49823,37.30583,232162.16216216216,1,1,5,1
55.4983368280908,37.5250701084192,293376.0042377053,2,1,14,20
55.498377,37.303081,292537.3134328358,0,1,3,1
55.498658,36.917488,224719.1011235955,3,1,3,1
55.498663,36.918306,173669.46778711485,3,1,3,1
55.498903,36.922151,126984.12698412698,1,1,3,1
55.4989214902561,37.5270871295981,247678.96209363863,2,1,14,3
55.498928,37.525369,330010.775862069,2,1,9,1
55.49928,37.526241,285189.7256900576,2,1,14,3
55.49929,37.521309,328413.28413284133,2,1,12,1
55.499326,37.526196,313596.32857268874,2,1,14,9
55.499372,36.916743,160839.16083916085,2,1,3,1
55.499453,37.303755,211359.40409683425,3,1,5,1
55.499525,37.519629,283017.19238420005,0,1,12,2
55.499805,37.569126,233766.23376623375,3,1,14,1
55.499892,36.916276,160694.44444444444,1,1,3,1
55.499968,36.91836,194808.76665234208,1,1,3,2
55.500035,36.919635,216666.66666666666,0,1,3,1
55.500177,37.567797,183098.5915492958,0,1,17,1
55.500223,37.569539,249951.5020763533,0,1,14,3
55.500254,37.527256,270000.0,2,1,14,1
55.500315,37.541198,265541.7406749556,3,1,11,1
55.500392,37.521686,303241.0888331941,3,1,14,4
55.500402,37.326357,241779.497098646,0,1,16,1
55.500427,37.525181,289176.89437590155,2,1,14,2
55.500483,37.328782,271212.1212121212,3,1,5,1
55.500524,37.541943,252336.44859813084,0,1,13,1
55.500601,37.519216,332045.84040747024,2,1,12,2
55.500662,36.917821,164179.10447761195,1,1,3,1
55.500743,37.324003,150619.63775023833,0,1,16,1
55.500815,37.56839,205673.75886524824,0,1,17,1
55.500856,37.522216,305676.85589519655,3,1,14,1
55.501151,37.330794,230851.06382978722,0,1,5,2
55.501447,37.562901,264411.76470588235,0,1,5,1
55.501488,37.575459,256461.1594259801,2,1,17,2
55.501524,37.324156,189765.45842217485,1,1,5,1
55.5016,37.598115,187497.69240485423,2,1,24,2
55.501738,37.580625,202695.76379974323,2,1,14,1
55.501784,37.526304,312500.0,0,1,14,1
55.501881,37.522054,285965.3453707622,2,1,14,3
55.501896,37.599238,200000.0,2,1,24,1
55.501952,37.55761,210930.73593073594,3,1,20,2
55.502084,37.576178,147019.33124346918,1,1,14,2
55.502207,37.555651,231493.5064935065,1,1,17,1
55.502523,37.322521,220729.36660268714,0,1,5,1
55.502666,37.538287,246700.01896121702,0,1,22,2
55.502773,37.602085,219527.3631840796,1,1,17,1
55.502997,37.32111,336561.74334140436,0,1,13,1
55.503028,37.558346,247030.87885985748,0,1,14,1
55.503069,37.566216,200810.3755625992,0,1,17,3
55.503135,37.324784,180555.55555555556,1,1,17,1
55.503206,37.53685,245243.1289640592,0,1,23,1
55.503482,37.587443,239640.54562801373,1,1,17,2
55.503497,37.332079,169879.51807228915,3,1,2,1
55.503726,37.589778,262529.83293556084,1,1,14,1
55.503838,37.32244,368394.1848362388,2,1,14,11
55.503864,37.548609,136298.42180774748,0,1,5,1
55.503884,37.580508,48955.613577023505,2,1,14,1
55.504053,37.240388,139285.7142857143,0,1,3,1
55.504078,37.578038,265748.031496063,1,1,16,1
55.504098,37.556101,221418.2344428365,4,1,12,1
55.504104,37.579502,213157.8947368421,1,1,15,1
55.504206,37.539042,261295.75486108582,2,1,19,5
55.504277,37.583859,261904.7619047619,1,1,17,1
55.504359,37.563835,250836.1204013378,3,1,4,1
55.504374,37.586778,219836.40081799592,1,1,17,1
55.504399,37.580948,243614.93123772103,1,1,15,1
55.50445,37.576735,209080.0477897252,2,1,16,1
55.504517,37.536823,256598.9881111467,0,1,17,12
55.504603,37.321317,321981.05957441335,2,1,14,17
55.504741,37.322763,359946.97001294635,2,1,13,7
55.504822,37.578702,257782.10116731518,1,1,17,1
55.504864088953234,37.32068436441757,261049.72375690605,2,1,13,1
55.504986,37.534793,266449.7969730528,3,1,16,3
55.505164,37.576492,200803.21285140564,1,1,16,1
55.506168,37.272763,255102.04081632654,3,1,5,1
55.506439,37.572082,231155.77889447234,3,1,17,1
55.506541,37.56591,206622.9888131212,0,1,14,2
55.506576,37.564105,282282.2822822823,1,1,9,1
55.506882,37.276186,74626.86567164179,3,1,2,1
55.506903,37.569548,221846.84684684686,3,1,5,1
55.506913,37.570644,250000.0,3,1,9,1
55.506974,37.566521,238095.2380952381,0,1,17,1
55.507693,37.26563,194805.1948051948,3,1,4,1
55.507718,37.265846,148148.14814814815,4,1,4,1
55.508116,37.565443,210820.1502272494,1,1,14,3
55.508534,37.266628,164800.0,0,1,4,1
55.508738,37.34046,281280.66679659026,2,1,17,5
55.508835,37.338565,249748.12765188655,0,1,17,4
55.508835,37.341565,280910.456348822,0,1,17,9
55.508876,37.343532,311572.70029673586,2,1,12,1
55.508896,37.342427,322544.1985715958,2,1,16,3
55.508937,37.338645,356037.1517027864,0,1,17,1
55.508967,37.344467,283815.2378299963,2,1,13,4
55.509034,37.329671,207317.07317073172,1,1,17,1
55.509044,37.345509,326446.35154461913,2,1,7,3
55.509217,37.337199,260815.59784676475,2,1,17,8
55.509375,37.569674,198684.2105263158,1,1,10,1
55.509441,37.338277,209000.0,2,1,17,1
55.509447,37.338142,198787.2763419483,0,1,17,1
55.510283,37.348455,275028.59344500554,2,1,16,3
55.510573,37.566314,218495.93495934957,1,1,12,1
55.510624,37.565254,242363.58442903176,1,1,14,2
55.510665,37.34965,316294.9939853799,2,1,15,2
55.511022,37.350351,319068.73139283346,2,1,14,3
55.511093,37.572863,237209.3023255814,1,1,10,1
55.511639,37.571399,225714.2857142857,0,1,15,1
55.511664,37.568479,214285.7142857143,0,1,18,1
55.51173,37.351967,269342.6063917867,0,1,9,2
55.512036,37.573663,232171.7695949963,2,1,15,2
55.512102,37.368065,284210.5263157895,2,1,3,1
55.512164,37.35309,355151.72229678323,2,1,17,5
55.512301,37.353144,332225.9136212624,0,1,17,1
55.512429,37.370248,291666.6666666667,0,1,3,2
55.512729,37.368119,296666.6666666667,2,1,3,3
55.513025,37.574462,307420.49469964666,0,1,17,1
55.513091,37.565317,252777.77777777778,1,1,5,1
55.513525,37.574318,248548.59752120025,2,1,17,2
55.513581,37.566045,269230.76923076925,3,1,4,1
55.513637,37.36767,284722.22222222225,0,1,3,1
55.513841,37.372925,335497.8354978355,2,1,3,1
55.513973,37.57466,358454.4467513667,0,1,17,2
55.5140608879271,37.5746372870321,251037.5,1,1,17,2
55.514243,37.369134,275229.3577981651,2,1,3,1
55.514437,37.574831,334772.37308929337,0,1,17,2
55.5144454832074,37.5747946740155,283187.5,1,1,17,2
55.514937,37.37359,284757.10217755445,0,1,3,1
55.514947,37.570869,234655.4156553398,1,1,16,2
55.515008,37.370033,296728.97196261684,2,1,3,1
55.515125,37.535457,211320.75471698114,0,1,9,1
55.515171,37.34232,385360.76326774,0,1,8,2
55.515171,37.568758,274850.05058534467,1,1,16,2
55.515181,37.352444,276301.07563025213,1,1,12,2
55.515691,37.354339,271818.1818181818,2,1,18,1
55.515732,37.567671,243902.43902439025,3,1,5,1
55.515854,37.338888,481605.50458715594,4,1,9,1
55.515987,37.372467,303951.36778115504,2,1,3,1
55.5161072285045,37.3427094788443,425650.6786359876,2,1,14,2
55.516354,37.533975,218155.79636066244,1,1,9,3
55.516384,37.347368,279421.8904455125,1,1,17,2
55.516405,37.53561,198874.29643527206,0,1,9,1
55.516486,37.355156,264614.43789729354,2,1,11,3
55.516501,37.568336,270000.0,0,1,9,1
55.5165014367381,37.338553804893,423151.75097276265,2,1,14,1
55.51668,37.395832,185185.18518518517,3,1,3,1
55.51697,37.534631,266025.64102564106,0,1,5,1
55.51719470276002,37.38459146954997,364663.9705938511,0,1,14,6
55.5172,37.39647,231431.64693218513,3,1,3,1
55.517231227194536,37.38319672086313,325961.5854483781,0,1,14,10
55.517276,37.395096,262048.19277108432,3,1,3,1
55.51733351737,37.5702076696248,245100.0,1,1,17,1
55.51737732229962,37.386061320089176,368228.73789419,0,1,14,8
55.51738400242486,37.38174028576752,364888.4984367486,0,1,14,6
55.517388,37.572405,382704.24836601305,0,1,17,2
55.5173905749656,37.5723882809136,277470.0,1,1,9,1
55.517434,37.342769,327477.9647350366,0,1,14,8
55.517444,37.225817,148721.3141204652,1,1,5,2
55.517639075715095,37.38737023808752,337908.43538951135,0,1,14,9
55.517745,37.394889,214750.0,0,1,3,1
55.517837,37.570878,437500.0,1,1,17,1
55.517949,37.34956,203075.13573748723,1,1,17,2
55.51799,37.394072,265443.4260558043,3,1,3,2
55.518041,37.343829,322276.16668476886,1,1,14,2
55.518126058177245,37.38388336637606,304430.3166930226,0,1,12,25
55.51821127828023,37.38519228437369,346617.1421651963,0,1,12,24
55.51821127943634,37.38255299070597,350120.9679041838,0,1,14,18
55.518285,37.572719,322089.68094279966,0,1,17,2
55.51829,37.345194,302777.77777777775,2,1,14,1
55.518295,37.395257,335714.28571428574,2,1,3,1
55.5183207832327,37.5726068809506,277200.0,1,1,9,1
55.518369544230815,37.38661921956782,360162.6601284794,0,1,14,15
55.51855,37.397216,258064.51612903227,3,1,3,1
55.518627,37.392095,201158.940397351,0,1,8,2
55.518831,37.396757,218174.6031746032,0,1,3,2
55.518897,37.395724,312842.6535087719,3,1,3,2
55.518907,37.344619,290102.3890784983,0,1,17,1
55.518943,37.394575,268440.89883028937,0,1,3,2
55.519157,37.392499,277136.2586605081,3,1,3,1
55.519203,37.348015,278153.2193296899,1,1,19,3
55.519208,37.349416,263026.3157894737,1,1,19,1
55.519284,37.385897,284825.87064676615,2,1,14,1
55.519391,37.21519,142570.281124498,3,1,5,1
55.519394,37.385835,279904.3062200957,2,1,14,1
55.5193944354647,37.3858347754617,293976.39382039226,2,1,14,4
55.5194198923292,37.5712134980043,407291.9274866686,1,1,17,22
55.519432,37.213654,194122.5165562914,3,1,3,2
55.519585,37.21616,160358.31887547357,3,1,3,2
55.519661,37.572657,452261.30653266335,1,1,17,1
55.519713574189126,37.57275464608501,418000.0,2,1,17,1
55.519886,37.345131,313899.5063861361,1,1,17,3
55.519988,37.214858,228426.3959390863,3,1,4,1
55.520146,37.393865,209790.2097902098,3,1,3,1
55.520166,37.212217,158790.17013232515,3,1,4,1
55.520176,37.34938,307536.2424419028,1,1,17,2
55.520263,37.347916,298791.54316292005,1,1,17,2
55.5204,37.355174,265891.5724851564,2,1,8,3
55.520457,37.386437,311036.7892976589,2,1,12,1
55.520492,37.396236,236842.10526315792,3,1,3,1
55.520696,37.216151,164556.96202531646,0,1,4,1
55.520711,37.214867,204954.42827758644,3,1,4,3
55.520757,37.38728,304791.76836393867,0,1,14,3
55.5209336412512,37.387588276126,304501.38005520223,2,1,14,3
55.520935,37.387613,291484.77761898574,0,1,14,2
55.520992,37.395257,295871.55963302753,3,1,3,1
55.521134,37.35018,298768.92922066944,2,1,17,3
55.521139,37.352291,275810.6123220441,0,1,16,2
55.521139,37.354653,297710.9015554304,0,1,16,8
55.52118,37.347575,280874.03064085083,0,1,12,12
55.521318,37.210357,184764.79660690186,0,1,4,2
55.521629,37.396353,259901.88953488372,2,1,10,2
55.521639,37.388232,278591.22024154704,0,1,13,6
55.521694,37.345867,275590.55118110235,2,1,15,1
55.521899,37.388466,366930.32985690027,2,1,12,2
55.522882,37.507646,286647.8538541512,0,1,16,1
55.522898,37.514266,272316.31539564754,0,1,17,2
55.522989,37.509846,239209.5132935713,0,1,16,3
55.523295,37.444772,266533.68520160264,0,1,15,2
55.523575,37.508661,172500.0,3,1,17,1
55.523687,37.511823,310142.2678970917,1,1,10,2
55.523825,37.514742,261384.61538461538,2,1,18,1
55.524014,37.215442,170000.0,3,1,5,1
55.524289,37.359109,292452.8301886793,3,1,2,1
55.524319,37.514015,285532.99492385786,0,1,17,1
55.52436,37.511679,288036.56597774243,1,1,16,2
55.524834,37.355489,206703.91061452514,3,1,1,1
55.524992,37.215486,227041.03158151446,0,1,5,2
55.525094,37.213717,230851.06382978722,1,1,5,2
55.525328,37.443721,174061.43344709897,2,1,14,1
55.525461,37.509837,308169.64285714284,1,1,17,2
55.525481,37.514778,300506.06145631155,2,1,18,3
55.525507,37.444683,253255.81395348837,3,1,3,1
55.525797,37.360286,202312.13872832368,0,1,2,1
55.525991,37.361112,190736.54728562065,3,1,2,2
55.526052,37.360537,230659.92292870904,0,1,1,2
55.526123,37.510628,264617.38377520355,1,1,19,3
55.52646,37.441071,175715.65495207667,1,1,5,1
55.526714,37.359846,250000.0,3,1,2,1
55.527061,37.219062,179999.98,1,1,5,1
55.528783,37.511975,250000.0,1,1,9,1
55.529496,37.51794,79182.63090676884,1,1,10,1
