lat,lon,price_per_m2,levels,ads_count
55.494599,37.553262,748.2993197278912,21,1
55.494803,37.556002,930.2325581395348,20,1
55.49493,37.515874,1127.8529611862946,14,3
55.495098,37.554439,712.3287671232877,21,1
55.495134,36.916608,718.9542483660131,3,1
55.495251,37.513485,1192.7272727272727,12,5
55.495455,36.917497,625.0,3,1
55.495588,36.91535,1047.9041916167664,3,1
55.495772,37.520689,1421.9635378171963,14,3
55.495823,37.303521,1045.0,2,2
55.495965,37.519261,1615.3846153846155,14,1
55.496348,37.517823,1156.7295493939425,14,4
55.496358,37.330624,1111.111111111111,3,1
55.496409,37.52024,1250.0,15,1
55.496414,37.520258,1376.1467889908256,14,1
55.496659,37.515407,1235.1926825611035,14,3
55.496766,37.551879,686.5671641791045,2,1
55.49746,37.517581,1068.4716938912509,14,2
55.497587,37.306504,1084.5986984815618,5,1
55.498117,37.518039,1250.0,14,2
55.49823,37.30583,1324.3243243243244,5,1
55.49929,37.521309,1184.672815107598,11,3
55.499453,37.303755,1081.081081081081,5,1
55.499509,36.921055,564.516129032258,3,1
55.499968,36.91836,1111.111111111111,3,1
55.500035,36.919635,807.6923076923077,3,1
55.500254,37.527256,1307.0218312153795,12,3
55.500392,37.521686,1147.496318805511,14,3
55.500427,37.525181,1289.3007494576436,14,4
55.500601,37.519216,997.7106390045432,14,3
55.500621,37.576124,1052.6315789473683,14,1
55.500779,37.594369,1160.7142857142858,9,1
55.500856,37.522207,1200.0,15,1
55.501029,37.527732,1333.5714285714287,14,4
55.501151,37.595402,945.6264775413712,10,1
55.501376,37.596938,1125.0,24,1
55.501524,37.324156,1225.8064516129032,5,1
55.5016,37.598115,813.953488372093,24,1
55.501784,37.526304,1228.4588207395668,14,2
55.501855,37.325853,857.1428571428571,9,1
55.501952,37.55761,1000.0,17,1
55.502207,37.555651,1000.0,17,1
55.502299,37.600989,915.9359512009149,14,2
55.502372,37.583107,1090.909090909091,14,1
55.502666,37.538287,1136.3636363636363,22,1
55.502997,37.32111,1640.625,13,1
55.503069,37.566216,851.5880928642642,17,3
55.50312,37.589114,1246.2445968635016,14,6
55.503405,37.5925,853.6585365853658,14,1
55.503436,37.556244,931.6877152698048,14,2
55.503838,37.32244,1652.8451040696746,14,3
55.503971,37.592716,1000.0,17,1
55.504078,37.578038,812.5,16,1
55.504165,37.594351,993.3774834437087,14,1
55.504206,37.539042,1125.0296635173397,17,6
55.504374,37.586778,1095.2380952380952,17,2
55.504374,37.597441,1126.984126984127,17,2
55.504517,37.536823,922.6763791046451,17,4
55.504603,37.321317,1860.9711406321576,14,2
55.504726,37.592545,1071.4285714285713,17,1
55.504741,37.322763,1847.389558232932,13,1
55.504986,37.534793,1018.5185185185185,16,1
55.505266,37.556631,883.3333333333334,14,1
55.506056,37.563242,1382.9787234042553,9,1
55.506168,37.272763,583.3333333333334,5,1
55.506541,37.56591,1240.694789081886,14,1
55.507193,37.565084,937.5,5,1
55.508106,37.36193,1515.1515151515152,14,1
55.508279,37.568749,1000.0,5,1
55.508661,37.341601,1159.9297012302286,17,1
55.508738,37.34046,1549.0897980624006,17,6
55.508835,37.338565,1340.8368644067796,17,4
55.508835,37.341565,1250.0,17,1
55.508876,37.343532,1268.8492063492063,12,4
55.508896,37.342427,1132.4576765907764,15,2
55.508967,37.344467,1384.920634920635,12,3
55.509044,37.345509,1497.6478494623655,7,3
55.509176,37.345482,1352.9411764705883,7,1
55.509217,37.337199,1363.7160385626644,17,2
55.509441,37.338277,1226.4150943396226,17,1
55.510283,37.348455,1052.6315789473683,16,1
55.510573,37.566314,1142.857142857143,12,1
55.510665,37.34965,1347.3053892215569,15,1
55.511022,37.350351,1000.0,9,1
55.511639,37.571399,1028.735632183908,11,2
55.512,37.351761,1200.0,9,1
55.512036,37.573663,1100.0,15,1
55.512164,37.35309,1433.2514332514334,17,2
55.512189,37.369718,1083.3333333333333,3,1
55.512587,37.369179,750.0,3,1
55.513091,37.565317,999.6666666666666,5,1
55.513265,37.371039,1308.9005235602094,3,1
55.51355,37.529079,1216.54501216545,5,1
55.513973,37.57466,1666.6666666666667,17,1
55.513999,37.37456,1026.3157894736842,3,1
55.51407,37.373455,1166.6666666666667,3,1
55.514437,37.574831,2062.0204180617566,17,5
55.514692,37.354465,891.3646266587443,14,3
55.515125,37.372781,985.2216748768473,3,1
55.515171,37.34232,1356.787292806509,14,3
55.515171,37.568758,1125.0,18,1
55.515181,37.352444,1257.5757575757575,12,2
55.515502,37.341906,1372.549019607843,8,1
55.515594,37.356944,1140.3269754768392,17,2
