club_key,green_pct
brightfit_лодочнаяулица43,2.440884
brightfit_профсоюзнаяулица31к5,0.0
brightfit_улицаакадемикакоролёвавл13к1,2.959109
brightfit_улицамедведева10,0.0
brightprime_улицаакадемикакоролёва13,2.959109
brightprime_улицаакадемикакоролёвавл13к1,2.959109
brooklynfitboxing_конныйпереулок12,0.00247
brooklynfitboxing_краснобогатырскаяулица89ст5,17.10612
brooklynfitboxing_улицакраснобогатырская89ст5,17.10612
brooklynfitboxing_улицаленинскаяслобода19,3.393101
brothersboxingclub_большаятатарскаяулица35ст3,0.933115
brothersboxingclub_пресненскаянабережная6ст2,0.0
brutalgymmoscow_3йхорошёвскийпроезд5ст3,0.510444
bsma_ленинградскоешоссе69к2,2.919367
buenospadel_проспектмира119ст22,100.0
buenospadel_складочнаяулица1ст6,0.026358
bumble_улицабольшаяордынка43ст2,0.334828
bungeefitness_бауманскаяулица53ст2,2.02421
bupasgym_новослободскаяулица37к4,2.124158
burstretch_покровскийбульвар8ст2а,9.557972
bushidopro_улицалавочкина32,25.918727
butovofight_куликовскаяулица9,39.155753
bymochalova_новокуркинскоешоссе1,4.463493
bytchaikovsky_нежинскаяулица8к4,31.025305
californiaboxingclub_ходынскийбульвар4,7.725837
calisthenicssport_новотушинскийпроезд10к2,0.0472
capoeiracordaodeouro_молодогвардейскаяулица15,9.23167
capoeiradosol_боровскоешоссе6,24.049945
capoeirasemfronteira_никулинскаяулица2к1,30.302098
capoeirasemfronteira_улицаалександрымонаховой92к1,0.0
capsula_аргуновскаяулица10ст2,6.663168
chakurikirussiagym_улицашкольная1а,7.933061
championtimefightclub_никулинскаяулица2к1,30.302098
chavanaspa_ленинградскоешоссе39ст1,2.743473
checkmat_столярныйпереулок3к13,2.037991
checkmatacademy_столярныйпереулок3к13,2.037991
chenglong_новослободскаяулица31ст1,2.124158
cherkasovteam_улицаавиаконструкторамиля2к1,0.842314
cherkasovteam_хвалынскийбульвар7/11,9.59834
cherryfitness_профсоюзнаяулица56,0.309584
chipper_жигулёвскаяулица6к2,0.0
cityresort_улицахамовническийвал36,11.801378
cityretreat_шмитовскийпроезд3ст1,7.947672
